date,temperature_min_c,temperature_max_c,temperature_mean_c,humidity_max_percent,precipitation_mm,wind_speed_max_kmh,dew_point_min_c
2025-05-08,11.6,22.3,16.5,92,1.4,19.2,7.8
2025-05-09,7.9,20.1,14.3,75,0.0,15.1,0.6
2025-05-10,8.2,25.5,17.2,63,0.0,11.5,0.4
2025-05-11,9.8,26.0,18.4,54,0.0,18.4,-0.4
2025-05-12,13.8,28.1,20.5,91,0.1,18.9,7.1
2025-05-13,14.4,27.1,20.6,100,0.2,11.7,12.8
2025-05-14,15.4,30.3,23.0,96,0.0,20.8,12.6
2025-05-15,20.0,33.5,26.2,96,0.6,32.0,3.5
2025-05-16,17.4,29.9,23.6,58,0.7,35.5,-1.3
2025-05-17,13.9,25.4,18.6,56,0.0,29.0,3.3
2025-05-18,11.9,25.7,18.7,62,0.0,13.9,2.2
2025-05-19,16.2,28.2,21.7,97,8.0,29.7,7.8
2025-05-20,15.1,24.8,20.2,99,14.9,27.7,9.4
2025-05-21,12.1,21.1,16.1,74,0.0,30.6,5.7
2025-05-22,9.4,17.3,13.6,76,0.0,25.4,3.5
2025-05-23,8.5,21.9,15.9,90,0.0,12.3,2.5
2025-05-24,12.1,24.2,17.9,76,0.0,14.1,6.2
2025-05-25,12.7,19.7,16.6,80,0.3,17.0,7.1
2025-05-26,10.7,22.1,17.1,76,0.0,21.3,4.1
2025-05-27,13.2,23.2,18.0,78,1.9,15.0,5.1
2025-05-28,13.6,23.4,17.9,94,2.0,15.3,9.4
2025-05-29,13.2,20.5,16.4,96,4.7,14.2,10.6
2025-05-30,12.2,27.7,20.5,96,0.4,23.8,6.1
2025-05-31,17.1,30.0,23.8,54,0.0,18.6,5.9
2025-06-01,13.7,29.0,21.7,72,0.0,10.4,2.7
2025-06-02,15.9,32.2,24.2,75,0.0,18.2,9.4
2025-06-03,21.0,30.1,24.7,96,14.2,27.7,16.5
2025-06-04,17.6,20.9,19.6,98,58.9,19.5,16.6
2025-06-05,14.9,24.0,19.4,97,0.1,13.6,14.4
2025-06-06,15.8,22.9,19.5,98,1.1,15.2,14.9
2025-06-07,16.1,22.6,19.2,98,5.0,13.0,15.7
2025-06-08,14.9,26.0,19.8,97,3.2,21.1,14.4
2025-06-09,14.1,23.7,18.4,90,0.1,22.4,11.1
2025-06-10,12.5,23.9,18.4,86,0.0,12.8,10.2
2025-06-11,16.4,28.5,22.5,84,0.0,15.9,13.1
2025-06-12,18.7,26.0,22.4,89,0.6,16.0,16.8
2025-06-13,19.5,24.5,21.6,98,10.2,14.3,19.1
2025-06-14,19.5,26.5,22.4,99,1.1,13.9,18.5
2025-06-15,17.5,26.5,22.5,99,0.1,10.1,17.2
2025-06-16,18.6,28.0,23.9,97,0.6,9.9,18.2
2025-06-17,20.1,30.1,24.0,98,8.1,13.9,19.6
2025-06-18,20.4,26.0,22.2,95,10.8,28.5,18.5
2025-06-19,18.0,28.0,22.8,97,0.0,12.7,16.4
2025-06-20,19.2,31.5,25.2,80,0.0,21.9,15.4
2025-06-21,24.1,33.6,28.9,86,0.0,28.0,21.5
2025-06-22,24.3,33.7,29.0,82,0.0,22.4,19.8
2025-06-23,24.4,33.9,29.0,81,0.0,22.3,19.5
2025-06-24,24.7,32.8,28.7,85,0.0,13.5,20.0
2025-06-25,24.0,32.9,28.4,89,0.8,12.8,21.5
2025-06-26,24.5,33.0,28.5,87,0.3,19.6,19.4
2025-06-27,23.0,30.5,25.7,94,4.9,21.1,20.5
2025-06-28,21.7,31.2,26.3,98,0.3,11.3,20.3
2025-06-29,21.3,28.5,24.8,96,4.3,14.2,20.6
2025-06-30,21.6,28.2,24.2,97,9.8,12.8,21.0
2025-07-01,20.1,28.0,24.1,92,0.0,16.4,17.6
2025-07-02,19.1,29.3,24.8,88,0.0,10.6,16.5
2025-07-03,20.1,30.5,25.9,87,0.0,8.8,17.6
2025-07-04,20.8,31.0,26.4,93,0.0,14.4,19.0
2025-07-05,22.1,31.5,26.7,85,0.2,19.2,18.6
2025-07-06,21.2,29.6,25.6,95,14.4,19.3,20.4
2025-07-07,20.9,29.4,25.1,97,0.0,9.3,18.5
2025-07-08,20.9,29.7,23.9,97,12.3,21.6,18.0
2025-07-09,20.0,30.2,25.1,97,0.1,11.7,18.3
2025-07-10,21.0,31.5,26.5,84,0.0,15.6,18.1
2025-07-11,23.0,32.4,27.4,82,0.1,20.7,18.0
2025-07-12,21.9,29.7,25.3,92,0.2,18.0,19.9
2025-07-13,21.4,25.2,22.7,98,6.8,9.9,20.6
2025-07-14,20.1,28.2,24.0,100,1.1,8.4,20.0
