date,temperature_min_c,temperature_max_c,temperature_mean_c,humidity_max_percent,precipitation_mm,wind_speed_max_kmh,dew_point_min_c
2025-05-08,9.2,21.9,14.8,79,0.2,23.8,3.5
2025-05-09,5.9,20.0,12.8,75,0.0,17.8,0.1
2025-05-10,8.0,27.6,17.2,60,0.0,19.0,0.2
2025-05-11,7.8,25.4,17.2,60,0.0,17.4,-5.2
2025-05-12,14.6,26.2,20.1,88,0.4,17.7,8.1
2025-05-13,15.4,27.0,21.0,98,1.3,12.9,13.9
2025-05-14,14.6,28.9,22.5,97,0.0,15.5,11.6
2025-05-15,19.0,33.0,25.6,95,0.2,31.1,5.1
2025-05-16,16.6,29.2,22.5,80,6.1,46.2,1.5
2025-05-17,12.9,22.6,17.4,56,0.0,33.1,3.5
2025-05-18,10.2,24.8,17.6,71,0.0,14.7,4.8
2025-05-19,10.5,23.7,17.5,69,0.1,30.2,4.9
2025-05-20,16.6,25.0,19.1,95,22.3,39.3,9.9
2025-05-21,12.2,16.0,14.5,89,1.5,29.2,8.1
2025-05-22,9.6,15.6,12.4,84,1.0,24.1,5.5
2025-05-23,6.9,19.4,13.7,95,0.0,18.7,4.1
2025-05-24,10.2,21.4,16.0,80,0.0,12.7,6.6
2025-05-25,11.9,19.5,15.6,75,0.0,16.5,7.5
2025-05-26,8.3,21.0,15.2,76,0.0,19.4,3.5
2025-05-27,12.3,21.3,16.4,80,3.1,17.2,5.2
2025-05-28,12.2,21.5,16.3,95,6.9,13.5,8.7
2025-05-29,10.8,19.6,15.5,95,0.1,7.2,10.1
2025-05-30,10.9,24.8,18.2,95,0.2,23.7,8.4
2025-05-31,14.8,25.6,20.1,70,0.0,17.8,2.5
2025-06-01,11.8,24.3,18.2,63,0.0,14.2,-3.8
2025-06-02,12.1,27.8,20.7,75,0.0,18.4,7.2
2025-06-03,19.0,29.0,23.4,93,5.3,30.8,14.5
2025-06-04,15.4,21.1,19.2,98,54.6,22.3,14.9
2025-06-05,13.7,24.0,18.6,96,0.0,20.7,13.0
2025-06-06,13.2,24.5,19.2,98,0.0,9.5,12.9
2025-06-07,13.9,23.6,19.1,97,3.8,11.7,11.5
2025-06-08,14.2,25.4,19.1,100,1.8,22.8,12.6
2025-06-09,12.2,22.5,17.2,89,0.2,26.1,8.6
2025-06-10,11.2,23.8,17.9,86,0.0,16.8,8.5
2025-06-11,15.1,28.5,22.1,85,0.0,19.3,12.7
2025-06-12,17.3,27.7,22.6,94,0.0,14.1,16.2
2025-06-13,19.5,24.1,21.5,97,19.8,10.7,18.5
2025-06-14,18.6,25.5,21.6,98,2.4,17.4,17.5
2025-06-15,16.0,26.5,21.8,96,0.2,12.6,15.3
