date,temperature_min_c,temperature_max_c,temperature_mean_c,humidity_max_percent,precipitation_mm,wind_speed_max_kmh,dew_point_min_c
2025-05-08,11.0,23.0,16.5,86,0.7,19.8,5.5
2025-05-09,7.6,20.5,14.1,75,0.0,14.8,2.7
2025-05-10,7.9,26.5,17.4,90,0.0,18.7,4.8
2025-05-11,9.4,26.1,18.2,51,0.0,16.5,-1.8
2025-05-12,14.4,26.9,20.8,82,0.1,19.3,8.1
2025-05-13,14.6,28.1,21.7,99,0.6,10.1,12.6
2025-05-14,15.4,30.7,23.7,95,0.0,17.7,10.9
2025-05-15,20.7,33.7,27.0,93,0.8,32.1,4.1
2025-05-16,18.0,30.7,24.1,56,0.2,40.3,0.0
2025-05-17,14.0,27.2,18.8,56,0.0,31.2,4.1
2025-05-18,11.4,25.5,18.2,65,0.0,13.0,3.7
2025-05-19,14.1,27.6,20.5,89,6.2,29.7,6.2
2025-05-20,15.9,24.5,20.2,98,43.7,28.2,11.0
2025-05-21,13.0,19.0,15.7,78,0.0,28.3,6.9
2025-05-22,10.1,16.4,13.1,82,0.2,24.7,4.8
2025-05-23,8.5,21.5,15.4,92,0.0,13.1,3.2
2025-05-24,10.1,23.0,17.2,89,0.0,13.0,7.8
2025-05-25,11.3,21.5,16.5,93,0.0,16.0,8.1
2025-05-26,10.1,22.0,16.8,81,0.0,18.5,2.9
2025-05-27,12.6,21.8,17.9,85,1.5,14.5,5.2
2025-05-28,13.1,22.4,17.3,96,8.0,11.3,10.2
2025-05-29,12.4,21.1,16.6,100,0.4,7.3,10.7
2025-05-30,12.6,27.5,20.3,96,0.0,23.7,7.4
2025-05-31,16.9,30.3,23.4,60,0.0,18.8,5.8
2025-06-01,13.8,27.8,20.9,55,0.0,17.7,-2.7
2025-06-02,15.1,31.9,24.0,74,0.0,17.2,6.5
2025-06-03,21.0,30.5,24.9,95,7.5,28.8,16.9
2025-06-04,17.4,21.5,19.8,98,49.4,17.2,16.2
2025-06-05,14.8,25.0,19.6,96,0.0,13.9,14.1
2025-06-06,14.9,23.7,19.7,98,0.0,9.8,14.4
2025-06-07,16.5,24.1,19.3,100,9.9,11.6,16.4
2025-06-08,15.1,25.9,20.0,99,1.7,19.6,12.9
2025-06-09,13.9,23.8,18.4,85,0.1,24.9,11.1
2025-06-10,12.6,24.6,18.8,88,0.0,14.3,10.6
2025-06-11,16.3,29.5,22.9,84,0.0,17.4,13.4
2025-06-12,17.9,27.6,23.0,91,0.3,13.5,16.0
2025-06-13,19.5,25.4,22.2,98,22.0,10.6,18.9
2025-06-14,19.5,26.4,22.5,99,1.2,14.4,18.5
2025-06-15,17.7,27.1,22.8,100,0.0,10.8,17.6
2025-06-16,18.9,28.6,23.7,97,0.9,12.3,18.4
2025-06-17,20.4,31.0,24.3,98,6.5,16.8,20.0
2025-06-18,19.4,25.6,22.1,98,23.2,27.5,18.5
2025-06-19,18.2,28.4,23.1,98,0.2,14.2,16.0
2025-06-20,19.5,30.7,25.1,85,0.0,28.3,16.9
2025-06-21,24.5,34.1,29.3,84,0.0,28.1,21.1
2025-06-22,24.6,33.8,29.5,82,0.0,22.7,19.5
2025-06-23,25.0,34.1,29.5,81,0.0,22.0,19.8
2025-06-24,25.2,34.4,29.5,85,0.1,15.0,19.4
2025-06-25,23.8,33.7,28.3,94,1.1,14.8,21.6
2025-06-26,24.4,32.8,28.6,94,2.5,18.2,20.5
2025-06-27,23.1,30.2,26.4,92,1.4,21.8,20.3
2025-06-28,21.5,31.8,26.6,99,0.3,8.4,21.2
2025-06-29,22.6,29.8,26.1,97,2.1,13.0,21.5
2025-06-30,21.9,29.5,24.7,97,3.7,12.1,20.9
2025-07-01,20.8,29.8,25.2,89,0.0,16.9,15.6
2025-07-02,19.6,30.5,25.5,91,0.0,13.3,16.1
2025-07-03,21.0,31.6,26.6,93,0.0,6.2,18.1
2025-07-04,21.9,32.7,27.4,88,0.0,14.9,17.7
2025-07-05,22.5,32.3,27.8,80,0.0,20.2,18.8
2025-07-06,23.5,30.4,26.4,95,5.4,15.7,21.8
2025-07-07,21.3,30.0,25.6,98,0.0,10.3,17.1
2025-07-08,21.1,30.6,24.2,97,14.0,20.4,17.6
2025-07-09,20.4,32.0,25.7,100,0.0,11.2,16.9
2025-07-10,21.5,32.6,27.2,91,0.2,16.2,18.7
2025-07-11,23.4,33.2,27.7,84,8.6,21.1,19.0
2025-07-12,22.2,31.2,25.9,95,1.2,17.6,18.0
2025-07-13,21.9,26.1,23.7,97,2.6,10.1,20.8
2025-07-14,20.7,29.1,24.6,100,0.7,7.2,20.3
2025-07-15,21.0,30.9,26.1,97,0.3,11.6,20.5
2025-07-16,22.6,31.5,26.2,98,10.3,23.8,22.3
2025-07-17,22.2,28.6,24.9,96,0.1,13.9,20.3
2025-07-18,19.1,29.3,24.2,90,0.0,12.8,17.4
2025-07-19,21.8,29.9,25.2,99,14.7,19.2,21.5
2025-07-20,22.8,29.8,25.2,98,24.4,14.7,22.2
2025-07-21,22.0,29.1,25.2,99,1.5,11.5,21.8
2025-07-22,22.5,30.9,26.4,98,2.0,14.7,22.1
2025-07-23,24.4,34.0,28.9,96,0.2,16.3,22.2
2025-07-24,24.2,33.7,28.5,97,3.7,19.9,22.4
2025-07-25,23.4,30.8,26.0,99,12.9,11.5,22.5
2025-07-26,23.1,31.1,26.3,96,7.5,13.8,22.4
2025-07-27,24.3,30.6,27.3,96,0.2,14.1,23.6
2025-07-28,23.2,32.0,27.4,96,15.3,17.0,22.2
2025-07-29,23.1,32.3,27.5,100,0.1,23.3,21.3
2025-07-30,23.1,29.3,25.6,99,10.8,13.3,21.6
2025-07-31,19.7,25.3,22.6,96,0.5,22.8,16.5
2025-08-01,16.3,25.5,21.0,84,0.0,14.3,13.4
2025-08-02,15.8,25.2,20.4,83,0.0,13.1,12.6
2025-08-03,14.8,25.5,20.3,95,0.0,15.5,13.1
2025-08-04,17.0,26.7,21.5,94,0.7,16.1,14.9
2025-08-05,18.1,28.4,23.2,98,0.0,10.6,17.0
2025-08-06,18.4,30.3,24.1,97,4.3,13.5,17.9
2025-08-07,21.4,30.2,25.2,95,3.2,13.7,20.5
2025-08-08,22.4,32.2,27.3,91,0.0,21.1,20.4
2025-08-09,24.0,27.9,26.1,93,14.0,20.7,20.6
2025-08-10,23.6,32.0,26.7,98,15.4,19.7,20.5
2025-08-11,21.9,29.1,24.6,97,9.7,14.3,20.5
2025-08-12,22.1,29.6,24.7,96,7.3,12.8,21.0
2025-08-13,21.0,28.4,24.2,98,0.1,12.9,17.6
2025-08-14,18.5,29.8,24.0,97,0.0,9.8,18.0
2025-08-15,21.2,33.9,27.2,92,0.0,10.7,19.9
2025-08-16,24.7,33.2,28.1,97,2.8,13.6,20.8
2025-08-17,24.2,32.8,27.6,95,0.3,16.7,22.5
2025-08-18,23.5,33.8,28.1,97,0.5,20.2,21.7
2025-08-19,23.4,30.2,26.6,94,1.1,14.7,21.4
2025-08-20,21.0,28.6,24.5,96,0.9,14.9,19.0
2025-08-21,17.6,27.2,22.4,96,0.3,14.5,15.6
2025-08-22,17.5,27.9,22.7,99,0.0,6.5,14.6
2025-08-23,19.3,29.2,23.2,91,0.3,20.0,13.1
2025-08-24,15.5,23.9,19.4,86,0.0,21.8,8.9
2025-08-25,13.8,21.9,17.7,87,0.0,16.7,7.2
2025-08-26,11.7,22.9,17.3,90,0.0,11.5,8.0
2025-08-27,13.2,24.6,18.8,93,0.0,10.9,10.6
2025-08-28,15.8,28.1,21.5,83,0.0,10.9,11.8
2025-08-29,16.5,26.5,21.2,96,0.3,10.1,15.1
2025-08-30,15.6,26.7,21.2,81,0.0,10.2,12.4
2025-08-31,17.1,25.1,20.8,83,0.0,11.4,12.1
2025-09-01,14.9,25.2,19.5,87,0.0,11.2,12.5
2025-09-02,13.4,25.6,19.5,92,0.0,6.9,12.1
2025-09-03,15.9,26.4,19.9,88,3.3,24.3,12.1
2025-09-04,11.5,19.9,15.7,91,0.0,13.3,7.2
2025-09-05,15.1,21.0,17.3,74,0.0,20.2,8.2
2025-09-06,11.4,20.8,15.6,85,0.1,22.8,6.9
2025-09-07,9.1,20.6,14.7,87,0.0,13.8,5.6
2025-09-08,9.6,22.2,15.7,81,0.0,12.9,6.2
2025-09-09,11.0,24.0,17.1,80,0.0,12.1,7.7
2025-09-10,13.9,27.7,20.2,82,0.0,6.1,10.6
2025-09-11,14.7,29.0,21.5,90,0.0,10.2,12.9
2025-09-12,16.1,31.1,23.6,88,0.0,14.0,12.6
2025-09-13,21.8,33.2,26.9,71,0.0,15.1,14.4
2025-09-14,20.9,33.5,26.5,87,3.1,11.8,18.1
2025-09-15,21.1,32.2,26.0,86,0.0,11.6,13.9
2025-09-16,18.3,31.0,24.3,81,0.0,10.0,13.6
2025-09-17,16.8,30.0,23.4,87,0.0,8.1,13.1
2025-09-18,17.2,31.2,24.0,82,0.0,8.6,12.6
2025-09-19,19.0,28.4,22.8,91,0.5,20.2,14.5
2025-09-20,18.8,27.5,21.9,95,2.1,14.0,16.4
2025-09-21,17.3,27.5,21.8,97,6.3,17.5,16.7
2025-09-22,18.6,27.0,22.2,97,1.1,11.5,17.8
