date,temperature_min_c,temperature_max_c,temperature_mean_c,humidity_max_percent,precipitation_mm,wind_speed_max_kmh,dew_point_min_c
2025-05-08,2.8,12.6,7.5,83,0.0,18.1,0.2
2025-05-09,2.2,14.0,8.0,76,0.0,20.8,-1.8
2025-05-10,3.7,16.2,10.0,79,0.0,16.7,-4.4
2025-05-11,3.4,18.0,10.8,75,0.0,17.3,-5.0
2025-05-12,6.2,24.5,15.8,69,0.0,13.0,-7.7
2025-05-13,14.4,21.8,18.0,92,1.5,26.4,9.4
2025-05-14,15.9,23.1,19.0,93,0.6,24.4,14.1
2025-05-15,14.2,24.2,19.4,97,0.2,21.1,13.6
2025-05-16,16.5,24.2,20.3,97,0.3,24.2,8.8
2025-05-17,11.1,18.5,14.5,95,10.1,26.9,7.7
2025-05-18,5.2,12.3,9.6,93,1.3,24.1,3.7
2025-05-19,4.7,12.8,8.2,95,0.0,20.5,-0.9
2025-05-20,2.1,16.0,9.2,80,0.0,25.9,-1.5
2025-05-21,7.7,11.3,9.6,97,14.0,28.8,3.5
2025-05-22,6.4,10.5,8.6,98,8.0,25.6,5.9
2025-05-23,5.8,7.8,6.9,98,3.7,25.9,4.8
2025-05-24,5.8,12.2,8.4,95,0.2,24.1,4.6
2025-05-25,4.2,13.6,9.1,94,0.0,21.3,3.0
2025-05-26,4.3,18.0,11.6,98,0.5,11.7,3.9
2025-05-27,8.8,20.5,15.2,90,0.0,17.6,7.1
2025-05-28,10.1,15.2,12.9,97,5.9,25.1,6.1
2025-05-29,10.9,16.5,13.8,100,1.5,18.5,10.9
2025-05-30,9.6,20.5,14.6,95,0.1,22.4,8.4
2025-05-31,6.8,11.1,9.1,95,0.1,32.8,1.5
2025-06-01,3.3,12.4,8.4,94,0.0,27.0,1.2
2025-06-02,5.4,21.0,13.6,65,0.0,16.2,-3.7
2025-06-03,12.0,26.0,19.4,65,0.0,25.6,4.1
2025-06-04,15.4,27.5,21.2,97,2.9,26.5,10.1
2025-06-05,13.1,22.5,16.9,98,37.5,15.8,11.8
2025-06-06,11.8,24.0,17.4,92,0.4,16.2,8.8
2025-06-07,13.1,23.7,18.4,72,0.0,16.5,6.8
2025-06-08,13.1,23.5,18.1,84,0.0,18.3,5.5
2025-06-09,14.7,22.4,17.9,98,2.2,18.0,10.4
2025-06-10,10.6,20.5,15.4,92,3.8,24.5,8.4
2025-06-11,12.6,26.8,19.2,92,0.0,26.8,10.9
2025-06-12,13.3,20.5,16.2,80,0.1,14.1,6.4
2025-06-13,11.4,21.8,16.2,71,0.0,17.3,4.6
2025-06-14,12.1,24.2,17.9,78,0.0,20.2,7.9
2025-06-15,13.2,25.5,19.5,66,0.0,12.9,6.9
2025-06-16,15.1,26.8,20.8,83,0.0,12.7,5.3
2025-06-17,17.2,29.0,22.8,96,0.4,19.5,15.8
2025-06-18,18.8,26.9,21.6,98,22.9,15.4,18.1
2025-06-19,14.4,20.2,17.5,99,14.3,30.9,12.4
2025-06-20,13.9,23.4,18.2,100,0.9,15.4,13.9
2025-06-21,17.1,27.5,22.3,96,12.3,28.8,16.1
2025-06-22,22.2,31.9,27.2,92,8.0,25.0,20.9
2025-06-23,23.1,33.0,28.1,91,0.0,21.9,20.0
2025-06-24,23.0,29.2,26.2,89,0.1,15.5,19.5
2025-06-25,19.0,25.5,21.9,95,3.3,11.4,13.1
2025-06-26,17.9,27.4,21.7,90,4.2,19.9,13.4
2025-06-27,17.0,29.2,22.6,97,16.0,24.3,13.7
2025-06-28,16.4,22.0,19.9,98,0.4,16.8,14.2
2025-06-29,13.4,26.4,20.2,97,0.0,10.5,12.8
2025-06-30,17.8,26.5,22.2,97,7.7,20.0,15.6
2025-07-01,18.0,24.6,21.5,100,0.9,17.6,16.9
2025-07-02,14.9,26.5,21.1,96,0.0,18.0,14.2
2025-07-03,14.6,22.1,19.0,95,0.0,18.6,11.1
2025-07-04,11.7,25.7,19.1,92,0.0,12.6,10.1
2025-07-05,17.7,29.2,23.8,85,0.3,18.9,13.6
2025-07-06,21.8,30.4,25.7,91,0.5,21.4,18.5
2025-07-07,15.4,22.1,19.2,100,0.3,18.1,14.4
2025-07-08,14.1,22.4,18.6,96,0.0,13.5,13.4
2025-07-09,15.9,25.1,19.8,96,6.1,13.1,13.8
2025-07-10,15.9,25.1,20.8,100,1.2,11.2,15.9
2025-07-11,17.0,28.0,22.2,100,3.5,12.3,17.0
2025-07-12,20.3,29.8,25.0,96,1.5,26.6,19.5
2025-07-13,19.8,26.2,23.2,99,1.8,13.7,17.2
2025-07-14,18.5,26.5,22.6,93,0.0,11.6,15.0
2025-07-15,18.1,28.8,23.3,82,0.0,11.8,14.5
2025-07-16,18.6,28.5,23.5,92,9.7,15.9,16.6
2025-07-17,13.8,22.2,19.3,98,3.8,31.1,11.1
2025-07-18,10.3,22.6,16.8,94,0.0,16.3,9.4
2025-07-19,12.6,25.3,19.4,95,0.9,16.7,9.6
2025-07-20,15.4,21.4,19.5,99,3.6,20.6,12.9
2025-07-21,13.4,21.0,16.9,94,0.0,13.2,9.1
2025-07-22,11.9,24.2,18.0,90,0.0,15.7,8.8
2025-07-23,13.4,26.2,20.2,90,0.0,14.3,10.3
2025-07-24,19.7,31.3,25.1,97,2.4,21.3,15.4
2025-07-25,19.9,24.7,22.3,100,0.5,13.0,19.0
2025-07-26,18.0,26.4,22.4,97,5.3,15.8,16.6
2025-07-27,20.0,26.8,23.3,99,13.8,15.8,19.0
2025-07-28,17.1,30.0,23.9,97,0.0,11.6,16.0
2025-07-29,17.5,28.5,22.9,98,0.0,11.3,16.6
2025-07-30,17.2,26.8,22.0,97,3.4,19.5,13.1
2025-07-31,15.4,22.9,18.2,92,4.3,18.2,8.6
2025-08-01,12.4,22.3,17.3,86,0.0,16.1,8.8
2025-08-02,10.6,22.3,17.3,91,0.0,11.9,8.9
2025-08-03,13.4,24.2,19.0,89,0.4,8.8,9.4
2025-08-04,13.9,26.3,20.2,92,0.1,10.9,12.8
2025-08-05,16.5,27.2,21.7,87,0.2,14.1,13.7
2025-08-06,18.7,26.9,22.5,87,0.2,18.4,13.8
2025-08-07,18.3,26.0,21.9,87,0.0,17.5,15.4
2025-08-08,18.3,27.9,22.9,94,1.7,16.4,15.8
2025-08-09,19.9,28.5,24.2,92,0.1,18.9,17.8
2025-08-10,21.0,29.9,25.1,87,0.0,16.9,17.8
2025-08-11,20.9,29.3,25.1,87,1.0,20.2,17.9
2025-08-12,21.1,29.4,24.8,96,4.7,15.8,20.5
2025-08-13,18.0,24.5,21.7,100,2.9,16.0,16.2
2025-08-14,15.3,25.5,20.3,97,0.0,9.5,14.6
2025-08-15,16.5,27.2,22.0,93,0.0,9.0,14.1
2025-08-16,17.0,28.1,23.1,91,0.0,14.2,15.4
2025-08-17,14.4,23.9,21.0,100,1.3,21.1,10.9
2025-08-18,12.9,22.5,17.2,79,0.0,18.1,6.3
2025-08-19,14.6,20.1,17.4,98,8.5,17.4,6.1
2025-08-20,17.0,22.9,19.5,98,0.5,19.9,15.4
2025-08-21,14.3,24.3,19.0,96,0.0,17.9,13.7
2025-08-22,12.9,24.6,18.9,98,0.0,9.1,12.7
2025-08-23,17.0,23.0,19.6,96,6.2,21.8,15.6
2025-08-24,14.6,20.6,17.5,96,0.4,18.1,11.7
2025-08-25,12.3,17.5,14.9,92,1.5,25.4,8.4
2025-08-26,11.1,16.4,13.8,88,0.9,21.6,8.3
2025-08-27,10.9,18.4,14.8,84,0.3,15.4,7.5
2025-08-28,11.6,18.1,15.1,92,15.7,18.0,8.6
2025-08-29,8.1,15.6,11.9,87,0.3,19.2,5.8
2025-08-30,8.5,17.6,13.0,90,0.6,16.0,5.8
2025-08-31,6.8,21.1,13.8,96,0.0,13.0,6.2
2025-09-01,9.6,22.8,16.3,94,0.0,12.1,6.8
2025-09-02,11.0,23.3,17.0,91,0.0,10.3,9.6
2025-09-03,12.4,24.0,18.0,95,2.5,24.4,9.8
2025-09-04,10.6,16.1,13.2,98,23.0,17.5,6.4
2025-09-05,8.4,19.4,13.9,92,0.4,33.8,6.4
2025-09-06,9.6,16.0,13.1,85,0.1,21.8,6.4
2025-09-07,8.7,15.4,11.8,93,1.4,22.4,5.6
2025-09-08,6.2,17.8,11.7,99,0.0,8.0,5.9
2025-09-09,8.6,21.1,14.3,86,0.0,15.9,6.2
2025-09-10,11.4,22.6,16.2,90,0.0,11.9,6.8
2025-09-11,10.1,22.5,16.1,92,0.0,14.8,8.6
2025-09-12,10.4,23.0,16.7,97,0.0,11.5,10.0
2025-09-13,13.1,22.6,17.3,93,0.0,10.2,11.8
2025-09-14,12.1,24.0,18.0,97,0.0,13.3,11.6
2025-09-15,14.2,25.0,18.9,90,0.0,14.1,11.2
2025-09-16,12.4,25.3,18.3,81,0.0,14.4,9.2
2025-09-17,10.9,24.2,17.4,88,0.0,10.7,8.8
2025-09-18,11.6,23.5,17.4,96,0.0,12.5,10.4
2025-09-19,12.4,21.6,16.7,96,0.0,16.5,7.6
2025-09-20,11.6,21.4,15.6,78,0.0,21.8,0.4
2025-09-21,13.0,24.5,18.1,94,1.5,22.3,2.7
2025-09-22,16.7,23.5,19.4,99,3.3,16.5,15.8
2025-09-23,16.1,23.7,18.8,100,5.1,11.9,16.0
2025-09-24,15.8,18.6,17.2,98,15.4,17.9,15.4
2025-09-25,14.9,20.9,17.2,100,8.4,17.1,14.8
2025-09-26,14.3,21.5,17.1,100,0.0,10.1,13.2
2025-09-27,12.9,24.5,18.5,97,0.0,18.5,12.5
2025-09-28,13.1,21.9,17.4,95,0.0,11.0,9.9
2025-09-29,10.6,23.2,16.2,87,0.0,10.9,7.9
2025-09-30,10.9,23.1,16.4,93,0.0,15.1,8.3
2025-10-01,8.9,19.5,13.7,75,0.0,17.5,2.2
2025-10-02,8.2,21.6,13.8,76,0.0,19.2,2.5
2025-10-03,7.9,24.6,16.0,88,0.0,12.5,4.7
2025-10-04,12.9,27.2,19.3,81,0.0,15.7,8.7
2025-10-05,15.8,27.0,20.5,88,0.0,16.0,12.6
2025-10-06,14.9,26.1,20.1,82,0.0,21.7,11.6
2025-10-07,11.8,19.7,15.7,97,7.8,16.4,5.9
2025-10-08,5.7,13.9,10.2,85,0.0,19.9,2.0
2025-10-09,2.2,13.8,7.5,84,0.0,13.3,-2.2
2025-10-10,3.0,17.7,10.2,86,1.2,21.7,-2.0
2025-10-11,9.8,16.8,12.8,95,1.3,17.1,5.3
2025-10-12,8.5,20.4,13.4,96,0.0,20.4,7.4
2025-10-13,8.2,20.3,13.4,92,0.1,18.8,6.2
2025-10-14,6.0,17.9,11.5,99,0.2,17.9,5.7
2025-10-15,5.3,13.9,10.2,91,1.4,17.6,2.0
2025-10-16,1.9,14.0,7.1,89,0.0,14.2,-0.3
2025-10-17,1.0,15.9,8.8,95,6.9,18.7,0.3
2025-10-18,12.6,22.9,17.0,89,6.8,20.0,7.6
2025-10-19,9.9,17.8,15.6,98,30.1,32.9,9.0
2025-10-20,6.4,12.8,9.7,91,2.4,29.5,2.8
2025-10-21,6.3,13.9,9.6,95,4.8,27.1,2.0
2025-10-22,4.9,8.8,6.6,99,9.4,17.5,3.6
2025-10-23,5.5,8.9,6.8,96,8.7,22.3,3.7
2025-10-24,3.0,8.7,6.2,95,5.3,20.7,1.9
2025-10-25,2.8,10.2,5.8,97,0.9,13.4,0.9
2025-10-26,-1.1,9.8,3.5,96,0.0,13.8,-3.0
2025-10-27,-0.9,10.7,4.1,87,0.0,21.6,-3.8
2025-10-28,3.5,11.9,6.9,92,0.0,23.3,-0.4
2025-10-29,3.0,12.7,7.0,94,0.0,19.5,2.0
2025-10-30,4.8,9.1,6.5,95,3.3,22.0,2.0
2025-10-31,5.5,9.2,7.3,91,1.0,36.5,0.1
2025-11-01,1.5,9.9,6.2,89,0.0,19.3,-0.2
2025-11-02,-0.4,12.6,5.1,91,0.0,19.7,-2.5
2025-11-03,5.2,11.5,7.6,91,3.7,33.6,-2.2
2025-11-04,5.5,11.6,8.2,78,0.0,27.5,-0.8
2025-11-05,5.3,11.3,8.1,91,2.7,33.2,-1.9
2025-11-06,1.2,6.8,4.3,83,0.7,30.4,-3.4
2025-11-07,2.9,10.2,7.4,94,7.5,28.0,-3.4
2025-11-08,0.9,7.7,4.2,75,0.1,23.7,-3.9
2025-11-09,-2.5,0.6,-0.8,88,6.7,23.2,-4.6
2025-11-10,-4.9,-1.4,-3.4,89,0.6,18.3,-7.2
2025-11-11,-3.6,1.2,-0.8,95,4.9,25.5,-4.9
2025-11-12,-0.9,5.8,2.8,94,4.5,29.1,-3.2
2025-11-13,3.3,6.9,5.1,78,0.4,29.7,-2.7
2025-11-14,0.2,9.1,3.9,92,0.0,13.7,-1.5
2025-11-15,2.5,13.7,7.6,97,6.4,30.8,-1.5
2025-11-16,0.9,7.2,3.1,81,3.1,34.0,-4.9
2025-11-17,-0.2,2.5,1.1,88,2.9,28.1,-4.1
2025-11-18,-2.8,4.9,0.4,82,0.0,12.6,-5.7
2025-11-19,-4.0,4.9,-0.5,91,0.0,12.6,-6.8
2025-11-20,-3.8,6.5,1.4,96,0.4,14.5,-5.5
2025-11-21,2.7,8.4,5.8,99,0.7,23.1,1.0
2025-11-22,-0.2,4.9,2.5,90,0.0,13.3,-3.0
2025-11-23,2.2,8.1,4.9,90,0.4,29.8,-1.5
2025-11-24,-1.9,8.8,3.3,96,0.0,17.1,-2.6
2025-11-25,5.4,8.4,7.0,100,8.1,17.4,1.0
2025-11-26,0.1,9.1,5.6,100,2.6,34.8,-4.3
2025-11-27,-0.9,0.8,-0.0,86,5.1,39.5,-5.5
2025-11-28,-2.5,-1.0,-1.7,83,5.8,35.5,-5.5
2025-11-29,-3.5,-1.7,-2.4,89,1.5,22.6,-6.7
2025-11-30,-1.8,1.2,-0.2,99,13.3,32.3,-4.2
2025-12-01,-6.9,-2.2,-4.0,93,1.5,24.2,-9.8
2025-12-02,-9.6,-3.3,-6.1,95,1.0,11.6,-10.4
2025-12-03,-7.1,-2.7,-4.5,97,3.3,24.5,-8.9
2025-12-04,-9.3,-1.8,-6.3,91,2.3,30.7,-12.1
2025-12-05,-14.6,-3.7,-8.2,86,0.0,20.7,-17.5
2025-12-06,-3.8,-0.8,-2.1,88,0.6,22.8,-6.6
2025-12-07,-7.5,-2.5,-3.4,90,3.8,24.9,-11.2
2025-12-08,-17.9,-7.2,-11.2,81,0.0,14.8,-20.5
2025-12-09,-13.0,-0.6,-6.3,95,4.9,26.1,-18.8
2025-12-10,-5.1,0.4,-1.2,100,14.1,30.9,-8.0
2025-12-11,-6.7,-5.1,-5.7,84,5.7,33.1,-9.6
2025-12-12,-8.4,-3.0,-5.7,84,0.0,19.8,-11.6
2025-12-13,-10.6,-2.9,-6.2,91,2.5,26.7,-13.8
2025-12-14,-11.9,-7.7,-10.6,90,4.0,30.7,-15.1
2025-12-15,-9.7,-5.4,-7.5,90,2.7,29.6,-14.6
2025-12-16,-9.4,-1.8,-6.2,87,0.0,31.0,-11.4
2025-12-17,-3.5,2.7,0.2,94,0.0,31.2,-4.3
2025-12-18,-3.2,6.2,2.7,93,2.8,36.3,-4.2
2025-12-19,-6.2,5.8,-2.0,100,18.1,38.9,-10.4
2025-12-20,-9.2,2.6,-2.8,89,0.0,33.6,-11.2
2025-12-21,-8.9,1.4,-5.7,78,0.0,36.7,-12.2
2025-12-22,-8.7,1.5,-3.5,97,1.7,19.6,-11.7
2025-12-23,0.3,3.0,1.4,98,3.7,21.4,-0.5
2025-12-24,-2.5,1.1,-0.3,93,0.0,24.4,-5.0
2025-12-25,-6.6,1.0,-2.1,95,0.0,21.1,-9.7
2025-12-26,-7.3,-2.2,-4.7,95,10.4,31.3,-10.8
2025-12-27,-7.8,-3.1,-5.5,92,0.0,15.9,-9.4
2025-12-28,-4.1,2.9,0.1,98,25.5,26.2,-5.2
2025-12-29,-6.7,11.2,-1.2,100,8.1,43.9,-10.9
2025-12-30,-7.3,-6.2,-6.6,85,4.4,35.9,-9.9
2025-12-31,-8.1,-4.6,-6.1,89,8.2,33.8,-12.1
2026-01-01,-10.0,-8.2,-9.2,80,3.5,31.6,-13.8
2026-01-02,-8.4,-7.2,-7.8,82,1.5,25.6,-12.0
2026-01-03,-7.8,-5.2,-6.3,90,1.5,17.5,-11.3
2026-01-04,-5.7,-3.3,-4.2,89,1.6,17.8,-8.5
2026-01-05,-7.1,0.4,-2.5,92,2.8,23.1,-9.2
2026-01-06,-3.8,1.0,-0.4,99,9.8,22.5,-4.7
2026-01-07,0.2,1.9,1.1,100,1.3,15.6,0.1
2026-01-08,0.7,7.5,3.4,100,0.0,29.7,0.2
2026-01-09,1.0,14.3,7.2,93,13.7,40.7,-0.1
2026-01-10,-2.2,3.9,0.3,100,3.3,30.4,-3.3
2026-01-11,-4.0,-0.9,-2.8,87,3.9,38.6,-8.8
2026-01-12,-3.2,1.0,-1.6,86,0.2,30.1,-6.1
2026-01-13,-3.0,3.7,0.3,93,2.2,30.1,-4.3
2026-01-14,-8.8,2.3,-1.1,99,2.7,26.5,-11.4
2026-01-15,-13.2,-8.3,-10.9,90,14.1,28.7,-16.0
2026-01-16,-12.3,-2.8,-7.3,92,2.5,25.1,-14.2
2026-01-17,-8.4,-0.8,-3.1,96,1.9,24.1,-11.3
2026-01-18,-11.9,-8.1,-9.7,89,0.3,19.6,-14.9
2026-01-19,-11.8,-8.0,-9.5,89,4.7,38.6,-15.3
2026-01-20,-14.9,-10.4,-12.5,77,0.8,31.9,-18.7
2026-01-21,-11.6,-2.5,-6.6,91,6.9,24.9,-16.6
2026-01-22,-9.1,-3.5,-6.5,85,1.7,33.1,-13.8
2026-01-23,-16.8,-9.9,-14.4,76,1.6,35.0,-21.9
2026-01-24,-16.3,-12.8,-14.7,85,1.5,20.7,-19.1
2026-01-25,-15.9,-10.6,-13.2,86,7.0,24.0,-19.4
2026-01-26,-15.6,-8.8,-12.0,88,2.3,26.9,-17.8
2026-01-27,-16.5,-9.7,-12.6,84,2.6,30.8,-19.5
2026-01-28,-12.8,-10.1,-11.1,83,1.8,23.9,-15.2
2026-01-29,-13.6,-10.0,-12.4,83,4.5,27.8,-16.8
2026-01-30,-20.6,-10.2,-14.7,86,3.0,23.7,-22.7
2026-01-31,-20.1,-10.2,-13.8,88,0.5,17.3,-22.0
2026-02-01,-21.2,-7.8,-14.2,85,0.0,14.1,-23.1
2026-02-02,-18.3,-6.7,-12.4,91,0.3,17.5,-20.6
2026-02-03,-8.9,-4.2,-6.6,93,0.8,22.9,-11.4
2026-02-04,-11.2,-6.4,-8.8,90,0.5,17.2,-12.6
2026-02-05,-16.1,-8.2,-10.8,90,0.0,18.7,-17.5
2026-02-06,-10.1,-1.9,-6.9,93,4.1,43.1,-13.1
2026-02-07,-14.9,-11.8,-13.4,81,2.8,35.8,-17.5
2026-02-08,-22.1,-11.9,-16.5,83,0.2,19.1,-25.3
