date,temperature_min_c,temperature_max_c,temperature_mean_c,humidity_max_percent,precipitation_mm,wind_speed_max_kmh,dew_point_min_c
2025-05-08,10.3,23.4,16.2,72,0.0,23.5,4.1
2025-05-09,6.8,21.5,14.1,69,0.0,14.7,-0.9
2025-05-10,6.0,28.0,17.5,83,0.0,22.6,3.0
2025-05-11,9.1,26.6,18.4,49,0.0,18.0,-5.7
2025-05-12,15.1,27.5,21.4,81,0.2,20.6,7.7
2025-05-13,15.6,28.8,22.2,98,0.5,13.5,11.6
2025-05-14,15.4,30.6,23.8,96,0.0,17.7,10.9
2025-05-15,20.4,33.7,26.9,92,2.3,35.7,3.9
2025-05-16,18.4,30.9,24.4,51,0.2,47.8,-0.9
2025-05-17,13.8,27.0,18.2,55,0.0,30.7,4.0
2025-05-18,10.9,25.6,18.0,65,0.0,12.0,4.1
2025-05-19,12.6,25.0,19.2,77,2.2,30.5,5.4
2025-05-20,16.6,25.1,20.0,94,42.6,32.7,11.4
2025-05-21,13.6,17.4,15.5,77,0.0,29.8,7.4
2025-05-22,10.1,16.5,13.0,83,0.2,24.3,5.4
2025-05-23,7.2,21.0,14.8,94,0.0,16.5,4.0
2025-05-24,10.1,22.9,17.3,83,0.0,11.6,5.9
2025-05-25,11.8,20.3,16.0,88,0.0,15.4,7.2
2025-05-26,9.6,21.6,16.3,80,0.0,19.2,3.3
2025-05-27,12.7,21.4,17.4,79,1.4,15.9,5.4
2025-05-28,13.0,21.5,16.9,92,16.8,13.4,9.4
2025-05-29,11.8,20.8,16.3,97,0.0,8.7,10.9
2025-05-30,11.6,26.0,19.0,95,0.1,22.7,8.8
2025-05-31,15.6,28.5,21.6,66,0.0,19.2,7.8
2025-06-01,12.2,25.1,18.7,67,0.0,17.0,-1.5
2025-06-02,13.5,30.5,22.2,77,0.0,17.6,7.7
2025-06-03,20.7,29.9,24.4,90,7.2,34.4,16.6
2025-06-04,16.9,21.1,19.9,97,46.2,16.2,15.5
2025-06-05,14.4,24.9,19.4,94,0.0,16.0,13.3
2025-06-06,13.7,24.8,19.7,98,0.0,11.5,13.4
2025-06-07,15.1,24.0,19.1,100,13.4,11.6,14.9
2025-06-08,14.2,25.9,19.6,99,1.3,23.0,12.6
2025-06-09,13.0,23.3,17.9,86,0.1,24.4,10.1
2025-06-10,11.6,24.5,18.6,88,0.0,15.3,9.6
2025-06-11,15.7,29.4,22.7,84,0.0,18.6,12.9
2025-06-12,17.5,28.3,23.0,92,0.0,14.3,15.9
2025-06-13,20.0,24.7,22.0,96,13.5,11.9,19.1
2025-06-14,19.1,26.1,22.4,98,1.8,16.9,18.2
2025-06-15,16.8,27.1,22.4,98,0.0,11.4,16.5
2025-06-16,18.2,28.6,23.3,94,1.1,13.5,17.3
2025-06-17,20.0,30.5,24.2,98,11.1,19.7,19.6
2025-06-18,20.0,24.8,22.2,96,17.8,28.5,19.0
2025-06-19,18.6,28.0,23.0,97,1.9,15.8,16.1
2025-06-20,18.7,29.9,24.2,85,0.5,29.4,16.1
2025-06-21,24.3,34.0,29.0,85,0.0,30.1,20.4
2025-06-22,24.2,33.2,29.2,84,0.0,23.8,19.6
2025-06-23,24.7,34.0,29.3,81,0.0,22.2,19.8
2025-06-24,25.0,34.0,29.2,86,0.0,14.4,19.4
2025-06-25,23.1,33.0,27.7,95,1.3,13.8,21.0
2025-06-26,24.2,33.1,28.7,94,0.4,17.9,20.3
2025-06-27,22.4,30.6,26.5,91,2.8,21.0,19.5
2025-06-28,20.9,32.2,26.5,100,0.1,9.1,19.9
2025-06-29,22.5,31.0,26.6,97,0.5,16.2,21.1
2025-06-30,21.6,30.2,24.9,97,6.7,18.5,21.1
