date,temperature_min_c,temperature_max_c,temperature_mean_c,humidity_max_percent,precipitation_mm,wind_speed_max_kmh,dew_point_min_c
2025-05-08,10.4,21.9,16.6,90,0.2,20.8,5.7
2025-05-09,6.6,21.8,14.7,72,0.0,12.7,0.2
2025-05-10,7.5,27.8,18.9,63,0.0,15.8,-0.1
2025-05-11,12.1,27.5,20.2,50,0.0,16.0,-3.2
2025-05-12,13.1,30.1,22.0,67,0.0,18.1,0.2
2025-05-13,15.6,28.5,22.4,97,0.4,13.0,11.4
2025-05-14,16.5,32.2,24.4,94,0.0,22.8,9.8
2025-05-15,20.0,33.2,25.9,94,0.0,37.3,3.4
2025-05-16,16.6,28.7,22.4,48,0.0,44.4,1.1
2025-05-17,11.8,20.8,16.0,61,0.0,33.1,3.4
2025-05-18,8.5,25.4,17.1,70,0.0,15.8,1.6
2025-05-19,14.1,27.3,19.7,96,16.9,30.2,3.0
2025-05-20,15.1,22.9,18.5,98,20.6,29.5,10.6
2025-05-21,10.4,17.8,14.0,75,0.0,31.9,5.9
2025-05-22,8.6,15.4,12.2,82,0.1,24.2,4.4
2025-05-23,7.2,20.3,14.6,91,0.1,9.8,2.7
2025-05-24,12.1,23.5,17.8,87,1.2,13.5,8.1
2025-05-25,13.8,19.4,16.2,77,0.7,19.1,8.4
2025-05-26,11.1,22.3,17.1,74,0.7,25.8,1.0
2025-05-27,12.5,22.6,17.6,90,2.8,16.8,2.8
2025-05-28,13.4,22.0,17.0,96,5.2,9.3,10.1
2025-05-29,13.6,22.4,17.5,87,2.5,11.8,9.6
2025-05-30,12.1,27.1,20.4,89,0.1,26.5,6.0
2025-05-31,16.3,30.0,23.5,57,0.0,16.2,5.1
2025-06-01,15.2,30.8,23.2,68,0.0,10.1,5.3
2025-06-02,17.8,34.3,26.3,70,0.0,23.8,5.5
2025-06-03,18.5,28.4,23.4,97,4.7,27.6,15.9
2025-06-04,15.9,22.6,19.1,98,5.6,18.5,14.9
2025-06-05,14.3,24.3,19.7,92,0.3,18.7,12.0
2025-06-06,15.1,25.6,20.8,93,1.0,13.9,13.9
2025-06-07,15.2,22.6,18.6,95,11.7,11.1,12.8
2025-06-08,14.4,25.6,18.4,97,0.3,32.4,10.8
2025-06-09,13.9,21.6,17.4,81,0.0,30.1,9.1
2025-06-10,11.4,25.5,18.7,86,0.0,14.1,9.1
2025-06-11,16.6,32.2,24.2,74,0.0,18.6,11.6
