date,temperature_min_c,temperature_max_c,temperature_mean_c,humidity_max_percent,precipitation_mm,wind_speed_max_kmh,dew_point_min_c
2025-05-08,7.6,14.1,11.1,89,1.8,23.2,3.4
2025-05-09,2.7,16.5,10.1,92,0.0,13.5,-0.1
2025-05-10,5.9,24.1,15.2,84,0.0,18.4,2.7
2025-05-11,9.1,19.0,13.8,78,0.0,21.0,2.8
2025-05-12,7.7,25.5,16.6,92,1.2,17.5,2.5
2025-05-13,15.9,23.9,18.7,97,5.4,18.3,15.1
2025-05-14,14.6,24.4,19.0,98,2.1,16.7,14.1
2025-05-15,16.2,28.3,22.5,95,0.8,20.0,15.4
2025-05-16,17.6,27.9,22.9,94,1.1,34.1,9.1
2025-05-17,14.6,19.8,17.1,89,1.1,38.4,6.8
2025-05-18,11.5,20.0,16.0,81,0.0,22.7,7.9
2025-05-19,10.2,18.8,13.7,93,0.0,20.9,6.4
2025-05-20,7.7,15.2,10.9,96,6.2,26.3,3.5
2025-05-21,10.8,18.9,14.1,95,16.5,28.2,9.9
2025-05-22,9.5,15.2,11.6,95,4.2,25.6,4.2
2025-05-23,5.5,15.4,10.8,80,0.3,30.6,2.0
2025-05-24,5.2,17.4,11.7,91,0.0,19.0,3.6
2025-05-25,6.6,19.2,12.4,92,0.0,17.7,2.9
2025-05-26,6.2,19.8,14.1,88,0.0,16.3,3.9
2025-05-27,12.2,21.0,16.1,84,0.6,19.5,7.8
2025-05-28,11.6,17.5,14.7,93,1.8,11.9,10.1
2025-05-29,11.2,20.4,15.5,99,0.4,20.3,10.1
2025-05-30,11.6,22.6,16.5,92,0.7,23.8,8.1
2025-05-31,10.9,18.1,14.5,90,0.0,25.1,4.1
2025-06-01,5.8,19.5,13.0,84,0.0,12.7,3.3
2025-06-02,6.6,24.2,16.2,84,0.0,11.7,2.5
2025-06-03,13.8,30.6,22.7,76,0.0,26.5,3.8
2025-06-04,21.5,30.6,25.4,80,0.6,30.9,15.4
2025-06-05,17.4,22.0,19.8,97,22.3,19.2,15.8
2025-06-06,16.2,23.1,19.2,95,3.4,11.5,15.1
2025-06-07,13.8,24.6,19.5,94,0.0,15.4,10.0
2025-06-08,15.5,24.9,19.7,92,1.2,13.9,12.3
2025-06-09,16.5,24.1,20.1,97,2.6,23.7,8.6
2025-06-10,12.2,23.0,18.0,90,0.0,23.1,8.3
2025-06-11,15.0,28.0,21.8,79,0.0,25.3,11.1
2025-06-12,17.5,28.5,22.8,89,0.1,16.2,10.3
2025-06-13,16.2,22.3,19.0,90,5.9,18.5,11.4
2025-06-14,15.1,20.6,17.1,96,6.9,18.4,13.6
2025-06-15,15.9,25.1,20.1,83,0.0,20.8,12.4
