date,temperature_min_c,temperature_max_c,temperature_mean_c,humidity_max_percent,precipitation_mm,wind_speed_max_kmh,dew_point_min_c
2025-05-08,0.0,14.9,7.6,76,0.0,17.3,-4.1
2025-05-09,1.1,19.5,11.1,78,0.0,15.8,-6.8
2025-05-10,6.4,18.0,12.4,73,0.0,19.5,-2.8
2025-05-11,3.4,22.1,12.8,73,0.0,18.4,-1.0
2025-05-12,8.4,26.0,18.1,63,0.0,16.4,1.6
2025-05-13,12.0,25.9,18.9,81,4.3,16.6,5.9
2025-05-14,12.4,26.1,19.2,100,0.5,14.4,12.4
2025-05-15,13.2,27.9,18.7,100,6.9,35.5,11.2
2025-05-16,10.6,23.5,15.2,92,8.7,28.8,5.1
2025-05-17,8.4,14.3,11.3,94,1.3,25.2,5.9
2025-05-18,4.4,10.8,7.8,85,0.0,15.9,0.4
2025-05-19,-0.1,13.4,6.6,90,0.0,22.9,-1.9
2025-05-20,4.2,7.7,5.8,94,5.1,33.7,-1.8
2025-05-21,4.2,11.2,7.2,97,10.7,22.9,2.8
2025-05-22,3.8,13.3,8.4,81,0.0,22.7,-1.4
2025-05-23,2.5,12.4,7.7,94,0.0,20.9,0.8
2025-05-24,1.4,15.4,9.6,91,0.6,11.6,-0.1
2025-05-25,3.0,17.8,11.8,86,0.6,14.0,-0.6
2025-05-26,5.8,20.8,14.2,87,0.0,14.1,-0.4
2025-05-27,10.0,19.8,15.3,55,0.0,18.0,-1.8
2025-05-28,11.1,19.6,15.0,92,0.7,16.6,-1.5
2025-05-29,10.2,21.0,15.3,89,0.0,12.1,3.1
2025-05-30,10.8,25.1,17.8,88,0.2,26.8,4.4
2025-05-31,5.9,22.1,14.2,84,0.0,18.8,-8.8
2025-06-01,4.4,22.1,14.1,70,0.0,11.3,-7.4
2025-06-02,11.8,29.1,20.9,67,0.0,22.6,3.8
2025-06-03,11.6,25.3,19.2,99,31.7,21.5,11.2
2025-06-04,10.4,22.0,15.9,97,0.1,12.3,4.5
2025-06-05,8.8,24.1,16.9,78,0.0,10.9,3.5
2025-06-06,13.9,21.8,17.6,76,0.0,11.6,6.8
2025-06-07,12.2,23.5,17.6,80,0.1,19.7,7.3
2025-06-08,11.6,20.4,15.8,97,5.6,22.4,3.8
2025-06-09,9.8,13.2,11.3,96,10.0,21.2,6.3
2025-06-10,10.6,18.8,14.0,95,0.6,19.8,9.4
2025-06-11,11.9,23.2,16.8,89,0.2,15.4,9.7
2025-06-12,9.9,21.6,15.2,96,5.1,19.9,8.1
2025-06-13,7.6,11.1,9.4,97,14.9,21.1,7.1
2025-06-14,8.8,17.4,12.3,98,2.6,16.1,8.4
2025-06-15,10.4,18.2,14.0,99,2.3,11.4,10.0
2025-06-16,13.6,24.8,19.4,95,0.5,20.8,12.6
2025-06-17,17.5,25.0,20.7,99,0.2,20.4,14.9
2025-06-18,15.1,25.2,19.4,92,0.8,10.9,13.7
2025-06-19,13.4,24.1,18.6,96,2.7,18.9,10.8
2025-06-20,14.2,26.5,20.4,98,2.0,19.1,12.9
2025-06-21,18.5,31.2,25.0,99,1.4,34.4,17.0
2025-06-22,23.9,32.2,28.3,86,0.0,25.1,20.9
