date,temperature_min_c,temperature_max_c,temperature_mean_c,humidity_max_percent,precipitation_mm,wind_speed_max_kmh,dew_point_min_c
2025-05-08,1.5,15.1,8.4,74,0.0,18.3,-5.9
2025-05-09,0.3,21.1,11.7,66,0.0,14.2,-6.4
2025-05-10,8.8,20.3,14.7,78,0.0,16.6,-0.2
2025-05-11,5.2,24.2,15.4,72,0.0,16.8,-1.4
2025-05-12,9.3,27.8,20.1,67,0.0,18.2,0.9
2025-05-13,14.8,25.8,20.4,82,0.5,15.2,6.6
2025-05-14,13.4,27.9,20.7,99,0.2,17.0,12.2
2025-05-15,14.2,29.8,20.3,99,22.8,33.9,8.6
2025-05-16,12.1,24.0,17.3,78,0.7,40.1,5.8
2025-05-17,9.6,13.6,11.6,95,2.0,28.7,6.8
2025-05-18,7.8,15.4,11.6,86,0.0,14.8,3.3
2025-05-19,1.8,13.6,7.6,83,0.0,26.3,-1.5
2025-05-20,4.8,8.3,6.6,95,17.1,36.2,-1.6
2025-05-21,5.9,10.4,7.8,96,9.3,22.3,4.8
2025-05-22,4.8,14.1,9.7,97,0.2,22.0,0.5
2025-05-23,3.5,12.9,9.2,89,0.0,15.9,0.9
2025-05-24,3.0,17.0,10.9,86,0.0,10.2,1.0
2025-05-25,4.2,20.0,13.1,90,0.0,18.9,-0.3
2025-05-26,5.9,21.8,14.8,89,0.0,17.7,1.3
2025-05-27,12.0,20.6,16.3,58,0.0,17.8,0.9
2025-05-28,12.6,16.0,14.3,92,2.8,13.9,-0.2
2025-05-29,11.1,21.0,16.4,85,0.0,13.9,4.8
2025-05-30,10.5,25.3,18.3,91,0.1,29.9,7.5
2025-05-31,8.8,22.5,16.1,84,0.0,17.1,-3.7
2025-06-01,6.3,24.4,16.0,79,0.0,11.6,-0.4
2025-06-02,13.2,29.8,22.0,62,0.0,24.5,4.4
2025-06-03,13.3,27.7,21.0,96,16.8,28.7,12.5
2025-06-04,12.1,23.5,17.5,95,0.8,11.5,5.1
2025-06-05,9.6,25.6,18.6,87,0.0,12.2,5.2
2025-06-06,15.1,23.7,19.3,90,0.0,12.0,7.4
2025-06-07,12.4,25.0,18.9,85,0.0,17.5,6.5
2025-06-08,13.5,22.9,17.6,92,3.4,23.4,5.3
2025-06-09,10.6,17.0,13.4,94,13.1,24.0,7.0
2025-06-10,11.5,21.8,16.0,91,0.2,21.0,8.9
2025-06-11,15.9,26.0,20.6,71,0.0,17.0,10.4
2025-06-12,12.7,23.1,17.9,87,0.1,22.1,7.2
2025-06-13,10.2,16.7,13.0,90,1.3,23.5,7.5
2025-06-14,9.8,24.5,16.2,88,0.1,17.1,7.9
2025-06-15,12.4,23.6,17.2,90,0.1,14.8,10.4
2025-06-16,15.8,26.6,21.0,92,2.3,15.9,14.3
2025-06-17,18.4,26.9,22.6,97,0.5,19.3,16.5
2025-06-18,17.6,22.6,20.0,93,3.3,10.5,15.9
2025-06-19,14.9,26.6,20.8,97,0.8,18.6,12.6
2025-06-20,17.0,27.7,22.9,86,0.5,23.9,14.3
2025-06-21,21.0,33.3,27.3,94,21.1,39.0,19.0
2025-06-22,25.5,33.4,29.6,78,0.0,29.1,20.6
2025-06-23,21.3,32.5,26.8,97,13.9,25.3,17.5
2025-06-24,20.4,26.4,22.8,99,8.4,15.8,18.8
2025-06-25,15.6,20.7,18.4,98,7.4,22.2,14.2
2025-06-26,14.6,21.5,17.7,99,6.3,23.1,14.2
2025-06-27,16.6,21.8,20.4,98,4.3,21.2,14.6
2025-06-28,13.4,27.7,21.3,100,0.2,16.4,13.3
2025-06-29,19.2,30.9,24.2,97,5.0,16.9,17.1
2025-06-30,17.5,26.9,21.6,99,0.2,17.8,14.4
2025-07-01,16.1,26.8,21.7,94,0.0,17.5,14.5
2025-07-02,17.0,28.4,22.9,87,0.3,17.3,14.6
2025-07-03,16.8,29.5,23.7,96,0.1,17.2,15.9
2025-07-04,20.2,30.9,25.5,97,2.3,19.7,19.2
2025-07-05,21.8,30.3,24.5,99,18.9,26.9,19.2
2025-07-06,19.2,26.6,22.8,100,0.5,15.6,15.7
2025-07-07,14.1,25.5,20.0,93,0.0,11.0,12.4
2025-07-08,17.2,27.5,22.2,97,0.6,13.5,16.1
2025-07-09,16.1,27.5,21.5,97,0.1,12.8,13.4
2025-07-10,16.4,27.1,21.7,98,2.9,13.7,14.9
2025-07-11,17.0,25.8,21.0,98,7.6,15.1,15.9
2025-07-12,18.5,25.6,22.0,99,8.2,21.2,14.8
2025-07-13,14.8,26.2,20.7,92,0.0,12.5,13.2
2025-07-14,18.0,29.0,23.6,92,0.1,12.4,16.2
2025-07-15,20.3,29.6,25.0,95,0.0,19.8,18.4
2025-07-16,14.4,27.2,21.3,98,18.5,21.4,13.2
2025-07-17,13.1,20.7,16.3,92,0.0,15.6,10.6
2025-07-18,10.8,22.8,17.6,96,0.0,15.4,10.1
2025-07-19,18.0,24.4,21.0,96,3.1,11.0,15.6
2025-07-20,15.2,24.4,19.8,98,0.0,13.4,13.1
2025-07-21,14.6,24.4,19.3,90,0.2,16.1,12.1
2025-07-22,16.0,29.0,22.5,85,0.3,16.4,11.1
2025-07-23,22.0,30.6,25.5,96,7.7,25.7,19.8
2025-07-24,20.9,26.6,23.6,98,7.3,17.2,20.2
2025-07-25,18.8,27.1,22.7,100,0.1,11.9,18.0
2025-07-26,18.0,27.6,22.6,89,0.0,10.1,15.8
2025-07-27,19.5,31.5,25.6,97,0.0,14.6,18.9
2025-07-28,22.0,31.6,26.3,93,0.0,11.1,15.9
2025-07-29,21.3,29.5,25.2,97,1.2,14.4,18.5
2025-07-30,17.6,22.3,19.9,98,14.9,19.2,14.1
2025-07-31,13.4,23.2,18.3,82,0.0,14.6,6.2
2025-08-01,10.8,23.5,17.5,86,0.0,5.8,8.5
2025-08-02,12.4,24.8,18.6,94,0.0,8.0,9.3
2025-08-03,13.8,25.0,19.2,87,0.0,10.3,11.6
2025-08-04,14.9,24.7,19.7,88,0.5,12.5,12.7
2025-08-05,14.2,26.9,20.4,89,0.1,14.4,12.2
2025-08-06,15.1,27.2,21.5,93,0.0,15.8,13.8
2025-08-07,18.4,29.1,23.8,94,1.5,15.5,17.4
2025-08-08,20.0,32.1,26.1,94,0.0,24.8,18.9
2025-08-09,21.8,27.3,24.1,97,16.3,28.1,20.4
2025-08-10,19.9,26.0,21.7,98,18.0,22.8,19.4
2025-08-11,19.0,27.2,22.7,100,0.8,13.2,17.9
2025-08-12,18.8,27.0,22.8,98,0.5,18.4,16.3
2025-08-13,14.4,25.8,20.2,92,0.0,12.6,12.7
2025-08-14,14.1,27.0,21.0,96,0.0,12.7,13.1
2025-08-15,18.8,30.5,24.3,96,3.8,18.8,16.4
2025-08-16,20.5,26.2,22.1,98,17.0,18.5,19.3
2025-08-17,16.1,23.0,19.6,96,1.0,19.3,13.2
2025-08-18,15.4,21.1,18.3,98,13.1,19.6,12.9
2025-08-19,16.4,25.8,20.6,96,0.0,13.4,15.5
2025-08-20,17.1,24.0,20.6,100,0.5,11.7,15.8
2025-08-21,13.5,23.0,18.4,100,0.3,7.5,13.4
2025-08-22,14.8,26.2,20.5,94,0.2,14.9,13.6
2025-08-23,14.6,20.7,18.6,99,0.0,26.1,10.2
