date,temperature_min_c,temperature_max_c,temperature_mean_c,humidity_max_percent,precipitation_mm,wind_speed_max_kmh,dew_point_min_c
2025-05-08,9.7,22.9,15.1,82,1.3,25.4,3.0
2025-05-09,6.5,20.1,13.0,83,0.0,17.0,0.2
2025-05-10,6.4,26.2,16.2,66,0.0,22.3,-0.2
2025-05-11,6.9,25.2,16.7,71,0.0,17.7,-1.6
2025-05-12,14.1,25.2,18.9,92,10.6,15.8,8.2
2025-05-13,15.5,25.8,20.1,99,1.0,13.4,14.8
2025-05-14,14.2,28.1,21.7,100,0.0,14.6,12.6
2025-05-15,18.4,32.2,24.5,96,12.7,28.8,16.4
2025-05-16,15.1,28.7,21.9,79,0.3,36.0,1.8
2025-05-17,13.2,22.6,17.9,62,0.0,31.7,4.3
2025-05-18,10.5,22.9,16.9,72,0.0,17.5,5.6
2025-05-19,10.3,23.6,17.3,74,0.1,26.0,5.3
2025-05-20,15.9,23.2,18.6,91,23.1,32.0,10.8
2025-05-21,11.9,17.0,14.6,89,1.4,32.2,8.6
2025-05-22,10.0,15.6,12.4,85,1.0,24.5,5.2
2025-05-23,6.9,19.2,13.8,95,0.0,21.4,3.2
2025-05-24,9.4,21.5,15.7,79,0.0,16.2,5.3
2025-05-25,11.3,19.5,15.1,77,0.0,16.7,6.7
2025-05-26,8.0,21.2,15.4,78,0.0,18.4,3.2
2025-05-27,12.4,21.6,16.9,75,0.5,18.0,6.0
2025-05-28,12.1,21.7,16.7,95,5.6,12.5,10.8
2025-05-29,10.1,19.7,15.7,100,0.5,7.9,9.9
2025-05-30,12.1,25.0,18.7,96,0.0,26.1,8.0
2025-05-31,13.7,25.0,19.5,66,0.0,19.3,-2.8
2025-06-01,11.6,24.0,17.8,59,0.0,12.6,-4.1
2025-06-02,11.4,27.6,20.2,78,0.0,18.7,7.6
2025-06-03,18.1,30.5,24.5,77,0.1,36.2,11.6
2025-06-04,16.9,23.4,21.3,97,22.0,26.3,15.9
2025-06-05,15.4,24.5,19.3,98,4.2,18.7,14.4
2025-06-06,14.4,24.6,19.4,99,2.8,8.6,14.1
2025-06-07,13.9,24.0,19.2,97,0.8,13.0,11.8
2025-06-08,15.2,25.4,20.2,97,1.1,24.2,11.6
2025-06-09,12.8,23.8,18.0,87,0.0,29.3,8.6
2025-06-10,11.9,23.4,18.0,82,0.0,16.7,8.2
2025-06-11,14.6,28.0,21.6,87,0.0,18.1,12.0
2025-06-12,16.6,27.6,22.4,93,0.0,12.6,15.4
2025-06-13,19.8,24.5,21.7,97,4.7,14.3,16.5
2025-06-14,19.1,25.4,21.7,98,1.4,17.3,17.9
2025-06-15,16.5,26.1,21.7,96,0.0,14.4,15.4
2025-06-16,19.0,27.4,22.8,92,1.2,12.7,17.6
