date,temperature_min_c,temperature_max_c,temperature_mean_c,humidity_max_percent,precipitation_mm,wind_speed_max_kmh,dew_point_min_c
2025-05-08,11.8,22.2,16.9,99,0.5,17.9,11.0
2025-05-09,10.9,20.8,15.5,91,0.0,13.6,5.0
2025-05-10,7.3,23.9,16.0,89,0.0,6.1,5.4
2025-05-11,10.9,24.1,17.3,86,0.0,14.4,7.7
2025-05-12,12.3,26.0,19.2,94,0.0,15.3,8.4
2025-05-13,14.7,26.0,20.5,100,0.0,12.3,14.7
2025-05-14,17.2,28.4,22.9,94,0.3,24.4,16.2
2025-05-15,20.1,28.5,24.3,93,0.0,27.7,8.4
2025-05-16,16.4,27.6,22.3,62,0.0,38.6,1.8
2025-05-17,14.9,25.7,19.5,52,0.0,24.8,3.2
2025-05-18,13.7,26.8,20.5,94,6.4,21.6,6.5
2025-05-19,17.4,25.0,20.4,98,41.8,27.3,15.6
2025-05-20,14.0,21.5,18.6,95,4.5,28.1,9.3
2025-05-21,11.6,20.7,15.5,85,0.0,24.0,7.9
2025-05-22,8.8,19.5,14.6,88,0.0,27.8,7.0
2025-05-23,7.6,20.5,14.6,92,1.2,10.5,6.4
2025-05-24,13.3,21.0,17.0,91,0.0,21.1,11.1
2025-05-25,13.9,19.3,16.6,97,5.0,22.8,10.6
2025-05-26,12.9,19.1,15.9,86,1.5,23.0,9.1
2025-05-27,12.6,20.3,16.0,92,0.9,14.8,9.6
2025-05-28,13.1,21.0,16.9,96,0.0,15.9,11.3
2025-05-29,13.4,18.8,15.8,97,8.0,9.7,11.2
2025-05-30,11.6,24.4,18.1,93,0.0,19.1,10.4
2025-05-31,14.1,27.3,21.0,80,0.1,16.2,10.6
2025-06-01,15.1,29.6,22.8,97,0.0,11.2,13.1
2025-06-02,16.0,30.6,23.9,91,0.0,18.6,14.4
2025-06-03,20.6,28.9,23.2,99,34.5,26.3,15.8
2025-06-04,16.3,22.2,19.6,100,31.2,16.3,15.9
2025-06-05,18.0,23.2,20.3,95,0.6,13.5,16.3
2025-06-06,18.0,24.5,20.8,98,2.2,12.4,17.2
2025-06-07,15.6,22.9,19.2,97,16.5,20.3,14.4
2025-06-08,13.6,27.5,19.7,98,2.7,21.3,13.1
2025-06-09,13.4,25.2,19.2,94,0.0,24.9,10.0
2025-06-10,12.6,26.6,19.8,94,0.0,8.6,11.2
2025-06-11,16.1,30.9,23.5,88,0.0,13.0,13.8
2025-06-12,20.8,25.8,22.6,91,1.0,18.5,16.6
2025-06-13,19.2,22.5,21.0,100,13.6,13.1,18.8
2025-06-14,17.0,28.1,22.6,100,0.0,8.5,17.0
2025-06-15,18.6,27.0,23.1,98,0.1,9.6,18.1
2025-06-16,18.7,30.0,24.0,98,0.1,9.2,18.0
2025-06-17,20.1,30.3,24.7,95,0.2,15.6,18.2
2025-06-18,18.4,25.8,21.3,97,24.9,26.2,17.4
2025-06-19,17.5,28.5,23.0,99,0.0,11.1,16.6
2025-06-20,20.2,33.4,27.0,78,0.0,23.0,15.7
2025-06-21,25.1,33.8,29.4,80,0.0,32.9,21.3
2025-06-22,25.5,34.4,29.7,73,0.0,30.4,17.2
2025-06-23,25.0,34.8,30.1,71,0.0,24.6,17.6
2025-06-24,24.6,35.2,30.0,78,0.0,14.2,18.4
2025-06-25,24.5,34.5,29.9,88,1.4,17.8,18.1
2025-06-26,24.9,35.1,29.5,79,1.0,26.0,17.6
2025-06-27,23.3,30.0,26.6,91,8.7,20.1,20.0
2025-06-28,21.8,30.4,25.7,98,1.8,16.2,21.0
2025-06-29,20.9,29.0,24.5,98,12.8,22.1,20.0
2025-06-30,20.2,27.1,23.1,92,9.1,23.5,18.8
2025-07-01,19.5,29.0,23.9,96,0.0,11.4,16.6
2025-07-02,18.4,31.1,24.9,88,0.0,12.0,14.2
2025-07-03,21.0,31.8,26.5,79,0.0,13.2,16.5
2025-07-04,21.7,32.0,27.3,85,0.0,17.2,17.6
2025-07-05,23.0,33.1,27.7,79,0.5,22.8,19.1
2025-07-06,22.5,29.8,25.7,92,8.9,18.3,20.9
2025-07-07,20.4,31.3,26.2,100,0.2,15.7,19.3
2025-07-08,21.9,31.0,25.4,96,4.6,19.9,19.7
2025-07-09,20.7,31.8,26.0,100,0.0,7.4,16.6
2025-07-10,22.0,33.8,27.9,80,0.0,18.3,17.8
2025-07-11,23.8,35.0,28.3,87,0.3,29.1,18.5
2025-07-12,21.5,29.3,25.3,93,0.1,17.8,20.0
2025-07-13,21.3,28.0,24.1,99,7.4,10.2,20.4
2025-07-14,19.6,29.4,24.4,100,0.0,9.6,19.6
2025-07-15,21.0,30.8,25.9,97,0.8,11.7,20.5
2025-07-16,23.0,31.8,25.8,96,9.2,19.5,21.8
2025-07-17,21.9,28.2,24.6,99,1.1,11.8,21.2
2025-07-18,21.1,30.0,25.2,98,1.0,13.8,20.7
2025-07-19,23.6,33.0,28.4,93,0.6,17.4,20.4
2025-07-20,25.9,33.5,29.0,90,0.3,21.6,21.1
2025-07-21,21.5,31.5,25.9,99,9.7,15.5,21.0
2025-07-22,23.2,32.6,28.1,97,5.6,20.0,22.6
2025-07-23,24.1,34.2,28.8,86,0.0,15.4,20.1
2025-07-24,24.4,33.8,27.9,97,1.2,13.8,20.4
2025-07-25,22.2,32.7,27.0,99,0.3,13.1,21.9
2025-07-26,25.5,31.6,27.6,92,5.1,15.3,21.8
2025-07-27,24.9,34.2,29.1,92,0.4,16.7,22.9
2025-07-28,25.4,34.3,29.1,89,0.0,18.7,22.9
2025-07-29,25.4,34.8,29.6,88,0.1,12.8,21.8
2025-07-30,23.4,32.2,27.0,89,8.3,23.8,21.5
2025-07-31,20.5,26.0,23.1,95,0.7,19.0,16.2
2025-08-01,17.2,25.5,21.3,86,0.2,16.0,13.5
2025-08-02,16.1,25.2,20.7,91,0.0,14.8,12.0
2025-08-03,14.1,25.0,20.2,88,0.0,9.6,12.1
2025-08-04,16.5,26.7,21.7,85,0.2,9.9,13.2
2025-08-05,17.2,29.7,23.5,89,0.0,11.2,14.8
2025-08-06,20.8,31.5,26.0,85,0.1,21.6,15.9
2025-08-07,22.4,32.2,26.7,89,2.0,22.9,18.1
2025-08-08,24.5,34.1,29.0,79,0.0,23.7,19.4
2025-08-09,25.4,32.8,28.7,76,0.1,24.4,19.6
2025-08-10,22.9,30.0,26.0,92,1.1,21.2,19.9
2025-08-11,22.0,30.1,25.0,97,19.2,17.0,20.6
2025-08-12,21.3,28.6,24.1,97,1.4,15.4,20.3
2025-08-13,19.9,29.2,24.4,96,0.0,11.3,16.1
2025-08-14,19.0,32.3,25.5,94,0.0,16.8,15.9
2025-08-15,23.4,34.9,29.0,80,0.1,16.4,17.5
2025-08-16,24.9,35.8,29.9,80,0.1,15.6,19.3
2025-08-17,24.4,34.3,28.5,86,0.1,15.0,20.5
2025-08-18,24.9,36.2,29.6,80,0.3,16.7,19.5
2025-08-19,24.6,33.0,28.5,85,0.4,14.2,21.5
2025-08-20,22.0,30.4,26.0,95,0.0,13.2,18.3
2025-08-21,20.7,29.1,24.3,97,0.2,14.7,15.1
