date,temperature_min_c,temperature_max_c,temperature_mean_c,humidity_max_percent,precipitation_mm,wind_speed_max_kmh,dew_point_min_c
2025-05-08,10.2,22.9,16.2,93,3.6,21.4,6.1
2025-05-09,7.3,20.8,14.2,72,0.0,17.1,1.4
2025-05-10,7.4,26.1,17.7,71,0.0,24.8,1.6
2025-05-11,9.5,25.5,18.1,58,0.0,18.3,-2.8
2025-05-12,14.9,25.4,20.1,91,1.0,22.2,9.1
2025-05-13,14.5,27.5,21.3,99,0.3,11.9,12.2
2025-05-14,15.7,30.8,23.4,93,0.0,19.7,11.4
2025-05-15,20.7,33.2,26.5,93,2.1,34.3,5.4
2025-05-16,17.2,29.9,23.4,60,1.0,38.0,-2.6
2025-05-17,13.9,25.4,18.8,54,0.0,32.7,3.4
2025-05-18,11.7,26.2,18.8,62,0.0,14.3,2.8
2025-05-19,15.4,28.0,21.2,88,5.5,31.3,6.2
2025-05-20,15.1,23.7,20.1,97,46.4,32.4,9.9
2025-05-21,12.4,20.2,15.3,77,0.0,29.9,6.8
2025-05-22,9.4,16.0,12.7,80,0.2,26.1,4.4
2025-05-23,7.8,21.4,15.0,92,0.0,12.2,2.8
2025-05-24,10.4,21.8,16.9,81,0.0,13.9,6.6
2025-05-25,11.7,19.5,15.9,83,0.3,15.1,7.6
2025-05-26,10.1,21.5,16.6,77,0.0,20.5,4.7
2025-05-27,11.9,22.9,18.1,89,6.7,15.2,4.4
2025-05-28,13.5,22.1,17.1,96,3.2,13.2,11.1
2025-05-29,12.7,20.1,16.2,96,2.3,11.6,11.4
2025-05-30,12.2,26.9,19.6,97,0.1,23.3,7.3
2025-05-31,16.2,29.5,22.9,59,0.0,18.5,5.8
2025-06-01,13.1,27.0,20.3,71,0.0,19.0,-2.4
2025-06-02,15.1,30.8,23.3,71,0.0,18.9,8.2
2025-06-03,20.9,30.0,24.6,93,7.5,30.7,16.6
2025-06-04,16.7,22.0,19.8,98,70.7,22.1,16.2
2025-06-05,14.8,23.9,19.2,98,0.0,17.5,13.9
2025-06-06,14.6,23.5,19.2,98,0.2,13.5,14.1
2025-06-07,15.9,23.6,19.1,100,3.8,11.5,15.9
2025-06-08,14.9,25.6,19.8,99,0.6,25.0,12.4
2025-06-09,13.3,23.7,18.2,95,0.1,23.9,10.9
2025-06-10,11.5,23.8,18.2,88,0.0,14.3,9.4
2025-06-11,15.8,28.7,22.5,83,0.0,17.3,12.6
2025-06-12,18.4,26.5,22.7,86,0.3,15.4,15.8
2025-06-13,19.6,24.4,21.9,97,10.9,13.8,18.3
2025-06-14,19.5,26.0,22.3,99,4.2,15.3,18.6
2025-06-15,17.7,26.2,22.5,99,0.0,11.4,17.5
2025-06-16,19.2,28.2,24.0,97,0.5,10.2,18.8
2025-06-17,20.1,30.8,24.1,100,8.7,21.1,20.0
2025-06-18,20.2,25.9,22.3,96,15.1,33.6,18.5
2025-06-19,17.6,27.6,22.6,98,0.0,14.0,16.6
2025-06-20,19.1,30.4,24.9,85,0.0,26.3,16.1
2025-06-21,24.0,33.8,28.9,87,0.0,28.1,21.2
2025-06-22,24.1,33.5,29.0,83,0.0,23.2,19.5
2025-06-23,24.7,33.9,29.2,80,0.0,23.0,20.2
2025-06-24,24.7,33.5,29.1,87,0.0,13.2,19.5
2025-06-25,23.9,33.1,28.2,94,0.5,13.4,21.8
2025-06-26,24.4,32.6,28.6,93,0.2,18.4,20.1
2025-06-27,23.0,30.4,26.6,92,1.0,21.9,19.8
2025-06-28,21.5,31.2,26.4,99,0.7,10.1,21.3
2025-06-29,21.9,29.2,25.5,99,1.3,13.1,21.5
2025-06-30,21.3,28.6,24.3,98,3.9,15.2,20.9
2025-07-01,20.2,28.5,24.1,94,0.0,17.2,16.7
2025-07-02,18.6,29.4,24.5,91,0.0,12.8,17.0
2025-07-03,20.0,30.8,26.1,90,0.0,7.1,18.2
2025-07-04,21.5,31.6,26.8,87,0.0,13.7,18.0
2025-07-05,21.8,31.7,27.1,83,0.0,19.8,18.5
2025-07-06,22.6,29.6,25.4,95,21.0,19.4,21.2
2025-07-07,21.1,29.1,24.7,99,0.0,10.7,17.6
2025-07-08,20.4,29.7,23.7,97,12.8,12.0,17.1
2025-07-09,19.7,29.6,24.3,100,0.2,12.4,18.7
2025-07-10,20.5,31.2,26.1,93,0.0,15.0,18.8
2025-07-11,22.5,32.3,27.5,81,0.3,22.0,18.8
2025-07-12,22.2,30.8,25.8,88,0.6,19.2,18.7
2025-07-13,21.2,25.5,22.9,98,4.5,13.6,20.3
2025-07-14,19.8,28.6,24.0,100,0.7,8.0,19.8
2025-07-15,20.9,30.1,25.5,97,1.1,13.9,20.4
2025-07-16,21.9,30.6,26.1,98,0.7,22.0,21.6
2025-07-17,21.8,28.3,24.8,97,0.7,11.2,20.1
2025-07-18,18.6,28.6,24.0,92,0.1,12.4,17.2
2025-07-19,22.1,28.5,24.8,99,47.3,21.4,21.5
2025-07-20,22.5,29.9,25.5,98,28.7,17.3,22.1
2025-07-21,21.8,28.8,24.8,99,6.6,13.7,21.6
2025-07-22,22.3,30.0,25.9,98,4.1,15.8,22.0
2025-07-23,24.3,32.8,28.2,97,0.0,13.6,23.7
2025-07-24,23.7,32.2,27.8,96,7.1,20.5,23.0
2025-07-25,22.9,30.7,25.5,99,19.0,16.7,22.1
2025-07-26,23.5,31.2,26.7,95,1.9,13.6,22.0
2025-07-27,24.5,30.8,27.2,95,0.5,15.7,23.4
2025-07-28,23.5,32.5,27.6,95,0.9,13.6,22.5
2025-07-29,22.3,32.5,27.6,97,0.8,19.0,20.8
2025-07-30,23.5,29.9,25.9,100,17.3,16.4,21.9
2025-07-31,19.3,25.5,22.5,98,0.2,25.1,15.4
2025-08-01,15.8,25.6,20.8,83,0.0,17.2,12.6
2025-08-02,15.4,24.8,20.1,81,0.0,15.3,11.6
2025-08-03,14.4,25.1,20.0,91,0.0,14.3,11.7
2025-08-04,17.0,27.2,21.5,95,1.3,13.7,13.6
2025-08-05,17.8,27.6,22.9,99,0.2,11.5,17.7
2025-08-06,18.7,29.8,24.4,96,0.9,16.4,18.1
2025-08-07,21.3,30.2,25.3,93,0.7,16.8,20.0
2025-08-08,22.2,32.0,27.0,91,0.0,21.5,20.3
2025-08-09,24.2,28.1,26.0,91,11.4,20.5,20.6
2025-08-10,23.5,31.3,26.6,92,7.2,21.6,20.1
2025-08-11,21.8,29.2,24.7,97,17.6,20.4,20.5
2025-08-12,22.4,29.8,24.6,96,9.6,22.0,20.8
2025-08-13,20.9,28.5,24.2,99,0.1,13.8,17.9
2025-08-14,18.5,30.1,24.3,95,0.0,12.5,17.2
2025-08-15,22.0,33.4,27.3,91,1.2,12.2,20.1
2025-08-16,24.5,33.1,28.1,96,3.2,16.3,20.4
2025-08-17,23.8,32.5,27.3,94,3.7,20.7,22.4
2025-08-18,24.0,33.2,28.2,98,0.6,18.9,22.0
2025-08-19,23.0,30.0,26.5,93,1.5,15.4,20.9
2025-08-20,20.5,28.7,24.2,97,0.7,16.3,19.0
2025-08-21,16.6,27.6,21.7,94,0.0,16.4,15.1
2025-08-22,17.0,27.5,22.3,97,0.0,7.2,15.1
2025-08-23,18.5,28.8,22.9,89,0.1,17.9,13.1
2025-08-24,14.4,23.2,18.7,89,0.0,21.2,9.1
2025-08-25,12.9,21.9,17.1,88,0.0,16.9,7.3
2025-08-26,11.1,22.5,16.8,89,0.0,11.6,8.4
2025-08-27,12.4,23.9,18.3,83,0.0,11.9,9.4
2025-08-28,15.4,27.0,20.9,83,0.0,12.7,10.9
2025-08-29,16.5,26.4,21.0,95,0.2,11.2,14.9
2025-08-30,15.8,26.4,21.0,81,0.0,11.7,11.8
2025-08-31,16.8,24.5,20.5,82,0.0,12.3,12.1
2025-09-01,14.8,24.4,19.3,85,0.0,11.7,11.6
2025-09-02,13.4,25.5,19.5,88,0.0,9.4,10.9
2025-09-03,15.1,26.8,20.1,93,2.8,23.2,11.6
2025-09-04,11.2,20.2,16.0,90,0.0,15.8,6.0
2025-09-05,14.9,20.3,17.0,75,0.7,20.2,7.6
2025-09-06,10.4,21.0,15.5,85,0.0,24.3,6.0
2025-09-07,8.9,20.0,14.5,83,0.0,14.7,4.6
2025-09-08,9.9,21.6,15.5,76,0.0,14.3,4.3
2025-09-09,11.6,23.5,17.0,74,0.0,11.4,6.8
2025-09-10,15.0,27.6,21.0,78,0.0,10.4,10.3
2025-09-11,15.0,29.0,22.0,88,0.0,8.9,12.0
2025-09-12,17.4,30.7,24.0,89,0.0,16.0,12.4
2025-09-13,21.9,33.2,26.8,71,0.0,17.5,13.9
2025-09-14,21.3,34.4,27.2,85,0.0,12.3,17.2
2025-09-15,21.9,32.5,26.6,82,0.0,11.7,13.2
2025-09-16,18.8,31.2,24.9,73,0.0,10.5,12.1
2025-09-17,17.3,30.1,24.0,76,0.0,10.1,11.9
2025-09-18,18.2,31.4,24.9,68,0.0,10.9,11.5
2025-09-19,19.0,28.6,23.0,87,1.4,13.0,15.2
2025-09-20,18.4,28.4,22.2,90,1.2,20.6,15.1
2025-09-21,17.9,28.4,22.1,96,14.5,19.6,16.9
2025-09-22,18.7,27.0,22.2,96,0.4,12.4,17.2
2025-09-23,18.1,26.8,21.8,97,0.7,12.9,16.4
2025-09-24,17.2,24.0,20.3,99,0.3,15.9,14.0
2025-09-25,14.1,23.6,18.6,96,0.0,13.3,10.1
2025-09-26,12.9,26.4,19.6,89,0.0,7.1,10.4
2025-09-27,14.6,28.2,21.3,83,0.0,8.4,11.1
2025-09-28,14.9,30.2,22.7,80,0.0,12.1,9.6
2025-09-29,16.8,31.0,24.2,77,0.0,7.8,9.9
2025-09-30,17.5,31.0,24.2,69,0.0,14.4,10.6
2025-10-01,15.1,28.7,21.8,77,0.0,11.7,9.8
2025-10-02,16.5,30.6,23.1,85,0.0,10.7,12.2
2025-10-03,17.0,30.8,23.4,96,0.3,15.7,15.1
2025-10-04,17.7,28.2,22.7,82,0.0,20.2,12.8
2025-10-05,15.7,28.2,21.7,79,0.0,21.0,11.6
2025-10-06,17.1,28.9,22.5,88,0.4,16.0,14.8
2025-10-07,13.6,21.0,18.3,99,0.0,20.3,9.6
2025-10-08,7.8,21.1,14.7,89,0.0,12.5,1.6
2025-10-09,7.4,21.0,13.7,82,0.0,14.0,3.8
2025-10-10,10.1,22.4,15.5,89,0.2,15.9,4.8
2025-10-11,12.2,23.4,17.1,100,0.0,17.2,6.6
2025-10-12,10.4,24.8,17.2,81,0.0,15.6,6.4
2025-10-13,15.9,25.9,19.7,86,1.0,15.9,9.8
2025-10-14,14.7,25.6,19.8,87,0.0,10.2,9.0
2025-10-15,14.4,24.8,19.4,94,0.0,13.0,12.1
2025-10-16,14.4,26.3,19.9,90,0.0,18.3,12.9
2025-10-17,15.6,26.1,20.5,83,0.0,21.7,12.4
2025-10-18,15.8,23.8,19.2,96,20.0,22.3,14.4
2025-10-19,9.2,16.2,12.7,95,2.9,30.2,-0.2
2025-10-20,5.6,20.6,13.3,77,0.1,31.5,1.5
2025-10-21,8.6,14.8,11.6,78,0.0,35.5,0.1
2025-10-22,5.3,15.0,9.5,70,0.0,23.7,-1.8
2025-10-23,2.2,15.4,8.4,81,0.0,19.4,-0.6
2025-10-24,1.4,14.8,8.6,92,0.0,11.7,0.2
2025-10-25,9.0,13.8,11.5,67,0.1,18.2,3.2
2025-10-26,10.3,17.7,13.1,91,2.3,19.8,3.4
2025-10-27,8.7,17.2,12.5,83,0.2,20.3,2.4
2025-10-28,9.7,13.4,11.0,95,2.3,15.3,2.7
2025-10-29,8.1,14.1,11.1,97,4.0,30.3,1.5
2025-10-30,3.5,13.5,8.2,89,0.0,19.8,1.5
2025-10-31,2.8,15.0,8.4,96,0.0,25.7,0.9
2025-11-01,2.1,9.6,5.4,88,0.5,13.5,0.1
2025-11-02,-1.7,11.0,4.6,100,0.0,15.9,-1.8
2025-11-03,3.9,16.2,8.7,80,0.0,15.4,-3.1
2025-11-04,3.8,20.0,11.8,69,0.0,23.9,-4.1
2025-11-05,6.6,17.4,13.1,75,0.0,22.5,-0.6
2025-11-06,0.9,16.6,9.0,77,0.0,22.9,-2.7
2025-11-07,11.2,20.9,14.9,94,1.7,27.3,0.9
2025-11-08,3.5,11.4,7.7,94,1.7,26.9,2.7
2025-11-09,-1.9,4.9,1.2,87,0.4,31.1,-11.3
2025-11-10,-4.8,2.5,-1.6,79,0.2,28.1,-10.6
2025-11-11,-4.2,8.9,2.4,69,0.0,24.0,-9.1
2025-11-12,3.8,16.5,9.1,76,0.0,20.6,-1.2
2025-11-13,2.2,17.0,9.3,79,0.0,17.7,-1.5
2025-11-14,8.9,23.4,15.2,85,0.0,18.9,2.2
2025-11-15,12.6,22.4,17.6,91,0.0,21.9,5.2
2025-11-16,2.2,11.8,7.2,64,0.0,18.8,-8.4
2025-11-17,1.1,12.9,6.8,72,6.5,22.0,-6.2
2025-11-18,7.1,15.4,10.3,86,22.2,23.2,1.4
2025-11-19,6.4,8.9,7.7,91,0.0,11.4,4.8
2025-11-20,7.3,11.8,9.3,97,1.0,14.2,6.0
2025-11-21,7.4,10.1,9.3,99,14.5,18.0,6.7
2025-11-22,2.3,11.1,7.2,100,0.0,15.6,2.2
2025-11-23,3.7,12.9,7.5,100,0.0,15.0,2.0
2025-11-24,4.8,10.1,8.2,100,2.1,16.2,4.4
2025-11-25,6.2,13.2,10.5,100,3.7,29.9,0.9
2025-11-26,0.0,5.4,3.0,65,0.0,41.3,-10.1
2025-11-27,-2.8,3.0,-0.3,70,0.0,20.5,-9.1
2025-11-28,-5.9,0.3,-2.6,79,0.0,12.6,-10.4
2025-11-29,-1.8,2.0,-0.2,96,21.9,31.2,-6.3
2025-11-30,-9.6,-0.9,-5.6,95,0.0,31.7,-10.1
2025-12-01,-9.2,-4.0,-5.6,96,5.6,9.0,-9.7
2025-12-02,-8.8,-4.9,-6.4,95,0.0,17.6,-9.8
2025-12-03,-6.8,0.4,-3.4,92,0.0,20.8,-8.1
2025-12-04,-15.6,-5.8,-11.0,88,0.0,17.1,-18.5
2025-12-05,-15.5,-1.2,-8.1,87,0.0,18.8,-18.8
2025-12-06,-2.2,2.0,0.0,94,0.0,16.5,-3.7
2025-12-07,-10.3,1.6,-1.5,99,0.0,23.6,-13.2
2025-12-08,-12.8,-4.6,-8.6,86,0.0,18.5,-15.1
2025-12-09,-3.5,6.6,2.1,88,0.0,26.2,-6.1
2025-12-10,-1.6,6.5,2.0,90,2.3,34.8,-6.1
2025-12-11,-5.8,-1.6,-3.1,94,5.9,17.5,-8.6
2025-12-12,-5.2,-0.2,-2.0,96,1.6,13.4,-5.9
2025-12-13,-16.4,-1.8,-10.1,92,6.9,17.3,-19.3
2025-12-14,-20.1,-15.6,-17.9,78,0.0,17.4,-23.2
2025-12-15,-18.5,-0.2,-8.2,78,0.0,24.8,-21.4
2025-12-16,-5.0,4.8,-0.0,89,0.0,16.9,-8.9
2025-12-17,0.3,6.8,3.8,90,0.2,24.3,-1.0
2025-12-18,-4.7,12.8,6.3,96,10.1,37.4,-12.9
2025-12-19,-7.8,-0.3,-3.9,67,0.0,34.6,-14.8
2025-12-20,-0.5,8.8,3.1,67,0.0,23.9,-8.8
2025-12-21,-5.4,4.8,-0.7,81,0.0,15.6,-11.9
2025-12-22,-0.9,7.9,3.2,86,0.0,18.8,-7.9
2025-12-23,1.8,14.9,7.0,95,0.0,14.1,1.0
2025-12-24,1.1,12.9,6.6,100,0.1,16.9,0.4
2025-12-25,8.3,12.9,10.4,100,0.3,18.4,8.3
2025-12-26,7.4,14.2,12.0,99,0.5,20.8,5.7
2025-12-27,6.5,13.5,9.0,98,0.3,19.4,5.5
2025-12-28,-5.1,21.5,11.7,97,11.1,37.6,-11.0
2025-12-29,-10.4,-5.2,-7.7,67,0.0,40.9,-18.5
2025-12-30,-9.9,-0.1,-5.1,82,0.1,18.6,-12.9
2025-12-31,-1.1,3.4,1.0,92,0.0,23.8,-8.5
2026-01-01,-5.7,1.5,-1.8,96,0.0,17.4,-11.6
2026-01-02,-3.4,-0.6,-2.2,90,0.0,11.6,-8.6
2026-01-03,-4.1,2.1,-1.6,73,0.0,10.8,-10.7
2026-01-04,-4.6,3.3,-0.3,89,0.0,23.4,-7.8
2026-01-05,0.7,10.6,5.1,89,0.0,21.6,-3.8
2026-01-06,2.5,12.1,7.9,94,0.0,20.5,1.7
2026-01-07,-1.9,14.4,5.7,98,0.0,19.7,-2.4
2026-01-08,7.2,17.6,11.7,95,19.0,37.7,1.8
2026-01-09,3.8,17.5,8.1,90,0.0,31.7,2.3
2026-01-10,-1.4,5.9,3.1,100,4.6,31.1,-8.5
2026-01-11,-4.6,0.6,-2.3,77,0.1,29.4,-11.1
2026-01-12,-2.5,8.5,2.0,74,0.0,17.8,-8.9
2026-01-13,2.8,12.4,7.5,69,0.0,24.6,-2.5
2026-01-14,-5.7,7.7,0.7,73,0.0,34.4,-14.3
2026-01-15,-10.1,-2.2,-5.8,67,1.0,19.0,-16.3
2026-01-16,-2.5,5.7,1.0,84,0.8,26.7,-10.0
2026-01-17,-9.9,-3.5,-8.3,57,0.1,26.6,-20.7
2026-01-18,-12.3,-3.2,-8.0,72,0.0,23.0,-17.4
2026-01-19,-14.4,-4.0,-11.0,63,0.0,30.8,-23.6
2026-01-20,-12.6,0.9,-5.6,56,0.0,24.0,-22.0
2026-01-21,-1.1,4.2,1.3,58,0.0,27.4,-12.2
2026-01-22,-8.1,0.9,-3.7,61,0.0,21.3,-15.3
2026-01-23,-18.6,-5.1,-15.2,55,0.0,21.7,-33.8
2026-01-24,-19.1,-13.4,-16.2,82,5.9,16.7,-31.1
2026-01-25,-15.3,-11.8,-13.7,85,6.2,21.1,-19.0
2026-01-26,-20.0,-11.7,-16.1,77,0.0,25.1,-23.2
2026-01-27,-15.2,-6.9,-10.0,81,0.0,25.5,-18.7
