date,temperature_min_c,temperature_max_c,temperature_mean_c,humidity_max_percent,precipitation_mm,wind_speed_max_kmh,dew_point_min_c
2025-05-08,12.9,22.6,17.2,88,0.4,19.2,8.4
2025-05-09,8.5,20.8,14.6,74,0.0,18.0,2.0
2025-05-10,6.7,25.4,16.8,71,0.0,8.4,1.0
2025-05-11,11.6,25.7,19.0,50,0.0,22.4,-1.2
2025-05-12,15.1,28.7,21.3,89,0.0,18.1,5.8
2025-05-13,14.5,27.1,21.0,100,0.3,13.7,12.4
2025-05-14,16.4,30.5,23.3,95,0.9,19.8,14.1
2025-05-15,19.9,33.9,26.3,96,0.0,33.1,2.2
2025-05-16,17.2,29.9,24.0,57,0.0,37.3,0.0
2025-05-17,14.1,26.1,19.0,57,0.0,29.8,3.5
2025-05-18,12.4,26.8,19.2,65,0.0,14.4,2.4
2025-05-19,17.1,28.8,22.0,97,8.0,29.9,8.6
2025-05-20,15.1,24.4,20.0,98,17.7,29.3,9.4
2025-05-21,12.1,21.9,16.5,74,0.0,31.2,5.3
2025-05-22,9.6,18.8,14.3,74,0.0,26.0,2.8
2025-05-23,8.1,22.4,15.8,92,0.0,9.5,2.8
2025-05-24,13.1,24.1,18.4,75,0.0,15.6,6.0
2025-05-25,13.4,19.9,17.3,72,0.1,18.0,6.6
2025-05-26,11.9,22.7,17.7,72,0.0,22.0,3.7
2025-05-27,12.9,23.1,18.0,94,4.1,17.3,5.7
2025-05-28,13.8,23.8,18.2,95,1.4,13.4,9.0
2025-05-29,14.4,21.4,17.2,97,5.2,8.8,10.1
2025-05-30,12.1,28.2,20.5,98,0.0,25.3,6.1
2025-05-31,16.2,30.8,23.6,58,0.0,18.1,6.1
2025-06-01,14.3,31.0,23.1,75,0.0,12.4,7.5
2025-06-02,17.0,32.8,25.3,73,0.0,19.6,9.2
2025-06-03,20.8,30.6,24.5,97,35.3,26.2,16.6
2025-06-04,18.0,21.9,19.9,99,61.4,17.6,16.9
2025-06-05,15.1,24.8,19.8,95,0.1,13.6,13.9
2025-06-06,17.6,23.9,20.5,98,1.8,15.6,15.9
2025-06-07,16.1,22.6,19.0,100,9.3,12.8,15.9
2025-06-08,14.1,26.4,19.6,100,2.6,17.4,13.9
2025-06-09,13.4,23.9,18.3,91,0.1,22.8,11.9
2025-06-10,11.9,24.2,18.4,94,0.0,9.9,10.9
2025-06-11,15.3,28.6,22.3,88,0.0,15.0,13.1
2025-06-12,18.8,25.8,22.4,91,0.9,17.2,17.2
2025-06-13,19.5,24.8,21.5,98,14.8,12.1,18.8
2025-06-14,19.2,27.4,22.6,99,1.3,13.5,18.8
2025-06-15,17.5,27.1,22.7,97,0.2,10.8,17.0
2025-06-16,18.4,28.4,23.9,98,0.8,10.1,18.0
2025-06-17,19.8,30.1,23.8,98,7.8,22.5,19.5
2025-06-18,19.9,25.2,21.9,98,17.8,25.7,18.5
2025-06-19,17.9,28.0,22.6,98,0.0,11.4,17.2
2025-06-20,19.0,32.2,25.3,84,0.0,21.2,15.6
2025-06-21,24.4,33.7,29.0,85,0.0,26.2,21.5
2025-06-22,24.1,33.6,29.1,83,0.0,22.5,20.0
2025-06-23,24.2,34.2,29.1,79,0.0,20.3,19.2
2025-06-24,24.5,32.8,28.7,84,0.0,12.2,20.3
2025-06-25,23.9,34.0,28.4,89,0.2,13.9,20.3
2025-06-26,24.2,33.8,28.9,86,0.2,20.0,18.2
2025-06-27,22.8,30.2,25.2,94,13.6,18.4,20.9
2025-06-28,22.2,31.7,26.3,98,0.0,11.7,21.0
2025-06-29,21.9,29.0,24.6,98,4.3,15.8,21.0
2025-06-30,21.2,28.6,24.2,98,9.8,14.5,21.0
2025-07-01,19.9,27.9,24.0,94,0.0,14.8,17.9
2025-07-02,19.0,29.6,24.6,92,0.0,9.1,17.1
2025-07-03,20.6,30.9,25.7,87,0.0,8.1,18.1
2025-07-04,20.8,31.0,26.3,93,0.0,16.4,18.9
2025-07-05,22.0,31.3,26.5,89,0.9,20.8,18.7
2025-07-06,21.0,29.5,25.5,100,7.3,13.2,20.9
2025-07-07,21.0,29.9,25.5,98,0.0,10.0,19.5
2025-07-08,21.4,30.1,24.6,96,1.1,12.0,19.1
2025-07-09,20.5,29.7,25.3,100,0.0,7.9,18.8
2025-07-10,20.8,32.1,26.6,90,0.0,14.8,18.9
2025-07-11,23.0,32.8,27.5,93,8.6,23.2,18.8
2025-07-12,21.9,29.7,25.2,92,0.4,15.0,19.2
2025-07-13,21.5,25.7,23.2,97,5.8,12.0,20.5
2025-07-14,19.8,29.0,24.3,99,1.1,8.3,19.7
2025-07-15,21.2,30.5,25.7,97,0.3,11.1,20.4
2025-07-16,22.3,31.5,26.2,98,2.4,17.1,21.9
2025-07-17,22.1,28.1,24.8,97,0.8,12.7,20.1
2025-07-18,19.8,29.1,24.5,94,1.4,12.1,18.8
2025-07-19,22.2,29.4,25.7,97,33.3,14.9,21.7
2025-07-20,24.0,30.7,26.9,98,3.1,17.7,21.1
2025-07-21,22.4,30.0,25.6,99,10.7,16.0,22.0
2025-07-22,23.0,30.9,26.2,96,3.9,16.1,22.4
2025-07-23,23.8,32.5,27.9,98,0.0,13.6,22.0
2025-07-24,23.9,32.1,27.4,97,4.5,13.2,20.9
2025-07-25,23.2,30.9,26.3,99,6.7,10.2,22.5
2025-07-26,24.4,30.0,26.4,94,7.5,16.7,23.0
2025-07-27,23.6,31.5,27.0,96,3.2,18.8,23.0
2025-07-28,24.1,32.5,27.9,94,0.2,14.6,22.1
2025-07-29,23.0,33.1,28.0,97,0.1,25.0,21.7
2025-07-30,22.4,30.0,25.7,98,5.1,16.7,21.5
2025-07-31,19.7,25.6,22.5,96,0.0,21.6,15.4
2025-08-01,16.5,25.2,20.8,86,0.0,13.8,13.4
2025-08-02,16.7,24.6,20.6,85,0.0,12.4,11.9
2025-08-03,15.1,25.1,19.9,87,0.0,12.1,12.1
