Variety,Crop,Phytophthora,White_Mould,SDS
S0009-J5X,Soybean,2,2,3
S003-R5X,Soybean,2,2,3
S005-Z5XF,Soybean,2,3,3
S007-C2E3,Soybean,3,2,3
S007-Z1X,Soybean,3,3,2
S007-A2XS,Soybean,3,2,3
S02-M4XF,Soybean,2,2,3
S03-V5E3,Soybean,2,3,2
S04-Q9XF,Soybean,3,2,2
S08-Z4E3,Soybean,3,2,2
S09-B5XF,Soybean,2,2,3
S10-H1XF,Soybean,3,3,2
S11-U2XF,Soybean,2,2,2
S12-M5X,Soybean,2,3,3
S13-Y4XF,Soybean,3,2,2
S22-D6XF,Soybean,3,2,2
S23-P1E3,Soybean,2,3,2
