Variety,Crop,Late_Blight,Early_Blight,Verticillium
Katahdin,Potato,3,4,5
Russet Burbank,Potato,4,5,4
Russet Norkotah,Potato,4,4,4
Kennebec,Potato,3,3,5
Red Norland,Potato,5,4,4
