Variety,Crop,Grey_Leaf_Spot,Northern_Corn_Leaf_Blight,Tar_Spot,Ear_Rot
NK7837,Corn,3,2,2,3
NK8005,Corn,3,2,3,3
NK8558,Corn,3,4,3,2
NK8711,Corn,3,4,3,3
NK9044,Corn,2,3,3,2
NK9175,Corn,2,4,4,3
NK9231,Corn,2,3,2,3
NK9400,Corn,3,4,2,2
NK9535,Corn,3,4,2,3
NK9805,Corn,3,5,4,3
NK9908,Corn,2,5,4,2
NK0123,Corn,2,6,4,2
NK0252,Corn,3,6,4,2
NK0415,Corn,2,4,4,1
NK0604,Corn,3,3,4,3
NK0880,Corn,4,2,3,5
